,spatial,typicalAgeRange,physicalSampleAvailability,followup,pathway
154,https://www.geonames.org/2638360/scotland.html,0-150,['NOT AVAILABLE'],UNKNOWN,"The NICOR datasets focus primarily on secondary care and therfore do not cover the whole patient pathway. The audit data may be linked with other primary cars datasets e.g, General Practice Extraction Services (GPES) to give a better undestanding of care pathways and how disease and treatments are manged over time."
155,"['United Kingdom,England,West Midlands']",18-110,['NOT AVAILABLE'],OTHER,Secondary care
156,['https://www.geonames.org/6269131/england.html'],16-96,['NOT AVAILABLE'],OTHER,"The NICOR datasets focus primarily on secondary care and therfore do not cover the whole patient pathway. The audit data may be linked with other primary cars datasets e.g, General Practice Extraction Services (GPES) to give a better undestanding of care pathways and how disease and treatments are manged over time."
157,"['United Kingdom,England,West Midlands']",0-115,['NOT AVAILABLE'],OTHER,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected.
158,['https://www.geonames.org/6269131/england.html'],60-150,['TISSUE'],1 - 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
159,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['NOT AVAILABLE'],> 10 YEARS,"This dataset contains all A&E attendances for NWL patients. Each patient will be identified using an unique patient key, this can be used to link to other Discover-NOW datasets that will help track the patient pathway"
160,Wales,18-150,"['DNA', 'PLASMA', 'SERUM']",OTHER,Cancer registration data are collected from a range of health care provider systems and other services.
161,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",Not Known,['NOT AVAILABLE'],UNKNOWN,Secondary care
162,England,0-1,['NOT AVAILABLE'],1 - 10 YEARS,Education
163,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2638360/scotland.html', 'https://www.geonames.org/3042225/isle-of-man.html']",0-150,['NOT AVAILABLE'],1 - 10 YEARS,"The independent datasets don't show the full patient pathway. We can include other datasets (Clock Stops, Clock Starts and Open Pathways) in views to show the full patient pathway). This dataset contains all diagnostic waits using a patient pathway identifier to link to patient activity related to NWL patient population."
164,['https://www.geonames.org/countries/GB/united-kingdom.html'],0-150,['NOT AVAILABLE'],UNKNOWN,"The dataset is representative of the entire medical specialty of ophthalmology, encompassing the full range of subspecialties within this field."
165,https://www.geonames.org/2641364/northern-ireland.html,0-150,['SALIVA'],OTHER,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected.
166,['https://www.geonames.org/2634895/wales.html'],0-150,"['DNA', 'IMMORTALIZED CELL LINES']",UNKNOWN,"The NWL MH linked table holds activity data from Mental health providers and contains the type and location of care received, episodes of care, diagnoses and questionnaire scores for individuals who have accessed adult mental health services within NWL."
167,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],OTHER,Secondary care
168,England,18-85,"['DNA', 'FAECES', 'PLASMA', 'SERUM', 'URINE']",OTHER,The dataset is representative of the entire pathway for patients receiving treatment for age-related macular degeneration (AMD) in the Medical Retina service at Moorfields Eye Hospital.
169,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['NOT AVAILABLE'],1 - 10 YEARS,Integrated care record covering the whole cancer patient pathway.
170,['United Kingdom (https://www.geonames.org/2635167/united-kingdom.html)'],18-99,['NOT AVAILABLE'],1 - 10 YEARS,Secondary care
171,"['https://www.geonames.org/2636157/tayside-region.html', 'http://www.geonames.org/2649469/fife.html']",12-150,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
172,['https://www.geonames.org/1733045/malaysia.html'],15-44,['NOT AVAILABLE'],1 - 10 YEARS,This dataset provides the full NWL population which identifies every patient through an unique patient key. This can be used to link to all other datasets to get a better understanding of the patient pathways
173,Malaysia,15-150,['NOT AVAILABLE'],> 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white).  Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care.  Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
174,['https://www.geonames.org/11591953/west-midlands.html'],0-150,['NOT AVAILABLE'],OTHER,"This dataset contains all Inpatient admissions for NWL patients. Each patient will be identified using an unique patient key, this can be used to link to other Discover-NOW datasets that will help track the patient pathway"
175,England,15-150,['NOT AVAILABLE'],UNKNOWN,Not applicable
176,England,0-4,['NOT AVAILABLE'],UNKNOWN,Secondary care
177,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,16-150,['NOT AVAILABLE'],OTHER,Secondary care cancer pathways.
178,England,0-110,['NOT AVAILABLE'],1 - 10 YEARS,Intensive care pathway.
179,Wales,18-64,['NOT AVAILABLE'],> 10 YEARS,ALL primary and secondary care LIMS records for Tayside
180,['https://www.geonames.org/2634895/wales.html'],0-150,"['DNA', 'PLASMA', 'SERUM']",> 10 YEARS,Cancer
181,"West Midlands Region, UK",0-150,['NOT AVAILABLE'],OTHER,Intensive Care
182,['https://www.geonames.org/1210997/bangladesh.html'],0-4,"['DNA', 'PLASMA', 'SERUM']",0 - 6 MONTHS,"Primary care, secondary care, COVID testing, COVID vaccinations, deaths, ITU/HDU admissions, prescribing/dispensing, cardiovascular audits (NICOR), stroke audits (SSNAP), national vascular registry"
183,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
184,['https://www.geonames.org/2638360/scotland.html'],0-4,['IN PROGRESS'],OTHER,All pathways about cancer
185,Wales,0-150,['NOT AVAILABLE'],1 - 10 YEARS,All diagnostic and therapy pathways
186,Wales,4-19,['NOT AVAILABLE'],OTHER,Not Applicable. Careers dataset.
187,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",18-85,['NOT AVAILABLE'],1 - 10 YEARS,ALL primary and secondary care LIMS records for Fife
188,United Kingdom (https://www.geonames.org/2635167/united-kingdom.html),18-85,"['PLASMA', 'PM TISSUE', 'TISSUE']",1 - 10 YEARS,Secondary care data only
189,https://www.geonames.org/2635167/united-kingdom.html,17-110,['NOT AVAILABLE'],OTHER,"The NICOR datasets focus primarily on secondary care and therfore do not cover the whole patient pathway. The audit data may be linked with other primary cars datasets e.g, General Practice Extraction Services (GPES) to give a better undestanding of care pathways and how disease and treatments are manged over time."
190,['https://www.geonames.org/2634343/west-midlands.html'],18-85,['NOT AVAILABLE'],OTHER,"The independent datasets don't show the full patient pathway. We can include other datasets (Clock Starts, Diagnostics and Open Pathways) in views to show the full patient pathway). This dataset contains all RTT Clock Stops using a patient key to link to patient activity related to NWL patient population."
191,United Kingdom (https://www.geonames.org/2635167/united-kingdom.html),15-150,['NOT AVAILABLE'],1 - 10 YEARS,"Patients may only experience an acute kidney injury (AKI) once in their life, or they may have multiple episodes. The AKI lab dataset captures AKI e-alerts for all children and adults who trigger an AKI alert in both primary and secondary care in England. Data collection is mandated by NHS England and in 2019 96% of laboratories submitted data."
192,['https://www.geonames.org/2634895/wales.html'],Not Known,['NOT AVAILABLE'],1 - 10 YEARS,All diabetic patients over Tayside and Fife
193,Scotland,0-150,['PM TISSUE'],OTHER,NOT APPLICABLE
194,['https://www.geonames.org/2634895/wales.html'],0-115,['NOT AVAILABLE'],UNKNOWN,Secondary care
195,"['United Kingdom,England']",0-150,['NOT AVAILABLE'],1 - 10 YEARS,Death data is sourced from either the Scottish General Registry Office or the Community Health Index data feeds.
196,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,15-150,['NOT AVAILABLE'],UNKNOWN,This is the patient index table generated from primary care registrations. Each patient will have an unique patient key that can be used to link to all other metadata available through Discover-NOW hub
197,England,0-150,['NOT AVAILABLE'],UNKNOWN,Secondary Mental Health Care Pathway except adult Improving Access to Psychological Therapies (IAPT)
198,http://www.geonames.org/6269131/england.html,0-115,['NOT AVAILABLE'],OTHER,"This dataset is representative of the patient pathway for community screening of diabetic eye disease and grading.  This DES dataset is linked within this dataset to include those patients who were then subsequently seen at the Ophthalmology Department at the Queen Elizabeth Hospital, University Hospitals Birmingham NHS Trust for worsening of their diabetic eye disease.  This limits the dataset to only those patients who have been seen both in screening and then subsequently in the hospital for eye disease"
199,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],> 10 YEARS,"The West Midlands (WM) has a population of 5.9million & includes a diverse ethnic, socio-economic mix. There is a higher than average percentage of minority ethnic groups with Birmingham having a population which is >40% non-white. WM has a large number of elderly residents but Birmingham is one of the youngest cities in the UK.  There is social deprivation and Birmingham’s population suffers with particularly high rates of illness; including cerebrovascular Disease, physical inactivity, obesity, smoking, hypertension, ischaemic heart disease & diabetes.  There are also high levels of rare diseases, especially immunometabolic conditions. This in turns leads to high levels of infections.    The patients included in this dataset are representative of this diverse population and also include a wide age-range. 

University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”."
200,https://www.geonames.org/2634895/wales.html,0-5,['NOT AVAILABLE'],1 - 10 YEARS,The dataset is representative of the entire pathway for patients receiving treatment for age-related macular degeneration (AMD) at Moorfields Eye Hospital NHS Foundation Trust .
201,https://www.geonames.org/1168579/islamic-republic-of-pakistan.html,40-150,['NOT AVAILABLE'],> 10 YEARS,"Enumerating the impact of COVID-19 on cancer pathways: a robust evaluation of the NHS Digital Trusted Research Environment (TRE).
 
We will delineate the precise impact of the COVID 19 pandemic on cancer systems and cancer patients. This requires access to both historical data (pre 2020) and near real-time data on patients referred with (i) a suspicion of cancer and (ii) those diagnosed with and/or managed for cancer. Our emphasis is on data on cancer referral, cancer diagnosis, cancer treatment and cancer outcomes, examining the impact of age, ethnicity, deprivation, comorbidity and concurrent medication.
 
We will examine the effects of COVID-19 on:
•	Cancer referral (including those which lead to a cancer diagnosis and those where cancer is excluded)
•	Cancer diagnosis (including date, tumour site, stage, grade, morphology and key molecular/genetic/ phenotype)
•	Cancer treatment (including surgical procedures, chemotherapy/targeted therapy and radiotherapy) 
•	Clinical trial activity including recruitment to and active treatment within trials 
•	Outcomes (including both hospital admission, survival, mortality and cause of death)
•	COVID status (including COVID testing (Pillar 1&2) and results, acute hospitalisation and related direct COVID deaths in cancer patients). We will also examine the interaction and impact of other factors including 
•	Age
•	Ethnicity
•	Social deprivation (IMD quintile)
•	Comorbidity (based on both hospital and primary care data) 
•	Concurrent medication (including both hospital and primary care data)
•	Geography including rurality and health care region
•	Rates of COVID infection, hospitalisation and death in discrete health care regions 
 
We will compare activity from 2019 and 2020 but to include patients diagnosed with cancer at any time before then."
202,England,1-120,['NOT AVAILABLE'],1 - 10 YEARS,The data set focusses on a single specialty (respiratory) and includes adult patients recruited through a single hospital trust.
203,https://www.geonames.org/2648110/greater-london.html,0-100,['NOT AVAILABLE'],0 - 6 MONTHS,"The dataset is representative of the entire medical specialty of ophthalmology, encompassing the full range of subspecialties within this field."
204,"West Midlands Region, UK",0-25,['NOT AVAILABLE'],1 - 10 YEARS,Secondary care
205,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-18,['NOT AVAILABLE'],UNKNOWN,NOT APPLICABLE
206,Wales,17-100,['NOT AVAILABLE'],1 - 10 YEARS,Not Applicable
207,['https://www.geonames.org/1733045/malaysia.html'],2-59 months,['NOT AVAILABLE'],1 - 10 YEARS,Fit and well
208,Wales,0-115,['NOT AVAILABLE'],UNKNOWN,Intensive Care
209,India,0-150,['NOT AVAILABLE'],> 10 YEARS,patients with suspected or confirmed early inflammatory arthritis
210,England,1-18,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
211,"['https://www.geonames.org/6269131/', 'https://www.geonames.org/2634895/']",0-150,['NOT AVAILABLE'],UNKNOWN,Administrative Dataset - Schools
212,"['https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/6269131/england.html']",0-150,"['TISSUE', 'WHOLE BLOOD']",> 10 YEARS,NOT APPLICABLE
213,UK,0-150,['NOT AVAILABLE'],> 10 YEARS,"The independent datasets don't show the full patient pathway. We can include other datasets (Clock Stops, Diagnostics and Open Pathways) in views to show the full patient pathway.

This dataset contains all RTT Clock Starts using a patient pathway identifier to link to patient activity related to NWL patient population."
214,https://www.geonames.org/2634895/wales.html,0-150,['IN PROGRESS'],1 - 10 YEARS,The dataset is representative of the entire pathway for patients receiving treatment for diabetic macular oedema (DMO) in the Medical Retina service at Moorfields Eye Hospital NHS Foundation Trust.
215,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",>18,['NOT AVAILABLE'],UNKNOWN,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
216,Wales,0-150,['NOT AVAILABLE'],> 10 YEARS,"Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data.  A matched non-COVID control population can be generated upon request."
217,India,0-150,['NOT AVAILABLE'],1 - 10 YEARS,"UK Biobank broadly representative general population (with caveats explained in UK Biobank publications), cases and controls were defined from extremes and the middle of the % predicted FEV1 distribution among never-smokers and heavy smokers (defined from UK Biobank baseline spirometry and total (pack-years) smoking exposure)"
218,"['https://www.geonames.org/6269131', 'https://www.geonames.org/2634895']",0-5,"['DNA', 'PLASMA', 'SERUM']",> 10 YEARS,dementia care in general hospitals
219,Wales,15-150,['NOT AVAILABLE'],UNKNOWN,The dataset is representative of paediatric diabetes care as 100% of paediatric units submit. Very few children or young people with diabetes would be managed outside of this setting.
220,['https://www.geonames.org/1733045/malaysia.html'],18-85,['NOT AVAILABLE'],1 - 10 YEARS,Pathways pertaining to exercise treatments and physical activity prescribed
221,Scotland,Not Known,['NOT AVAILABLE'],> 10 YEARS,Secondary Care pathway. This dataset covers outpatient appointments at hospitals in England. It includes information on the treatment and outcome of the appointment.
222,['https://www.geonames.org/2635167/united-kingdom.html'],0-150,['NOT AVAILABLE'],OTHER,The dataset is representative of the entire pathway for patients receiving treatment for diabetic macular oedema (DMO) in the Medical Retina service at Moorfields Eye Hospital.
223,England,16-105,['NOT AVAILABLE'],UNKNOWN,"X-Rays, CTs and MRIs"
224,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,18-85,['NOT AVAILABLE'],OTHER,Pathways pertaining to adult learning
225,['https://www.geonames.org/2634343/west-midlands.html'],0-115,['NOT AVAILABLE'],OTHER,Data are not associated with a patient pathway.
226,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2638360/scotland.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['NOT AVAILABLE'],OTHER,All maternity pathways
227,United Kingdom (https://www.geonames.org/2635167/united-kingdom.html),16-100,['IN PROGRESS'],OTHER,Cancer registration data are collected from a range of health care provider systems and other services.
228,['https://www.geonames.org/6269131/england.html'],0-150,"['DNA', 'PLASMA', 'SERUM']",UNKNOWN,Covid-19
229,"['https://www.geonames.org/2636157/tayside-region.html', 'http://www.geonames.org/2649469/fife.html']",0-150,"['PLASMA', 'URINE', 'WHOLE BLOOD']",OTHER,Cancer registration data are collected from a range of health care provider systems and other services.
230,['https://www.geonames.org/2643743/london.html'],16-150,['NOT AVAILABLE'],OTHER,"The West Midlands (WM) has a population of 5.9 million and includes a diverse ethnic, socio-economic mix. There is a higher than average percentage of minority ethnic groups with Birmingham having a population which is more than 40% non-white. WM has a large number of elderly residents but Birmingham is one of the youngest cities in the UK.  There is social deprivation and Birmingham’s population suffers with particularly high rates of illness; including cerebrovascular disease, physical inactivity, obesity, smoking, hypertension, ischaemic heart disease and diabetes.  There are also high levels of rare diseases, especially immunometabolic conditions. This in turn leads to high levels of infections. The patients included in this dataset are representative of this diverse population and also include a wide age range. 

University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services and specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds and 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary and secondary care record (Your Care Connected) and a patient portal “My Health”."
231,Wales,0-115,['NOT AVAILABLE'],0 - 6 MONTHS,Secondary care records for Tayside and Fife
232,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",18-110,['NOT AVAILABLE'],UNKNOWN,Education
233,['https://www.geonames.org/6269131/england.html'],>18,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
234,India,15-150,['NOT AVAILABLE'],UNKNOWN,Administrative data. can be linked to health data across all pathways.
235,England,18-85,['NOT AVAILABLE'],UNKNOWN,patients with suspected or confirmed early inflammatory arthritis
236,['United Kingdom (https://www.geonames.org/2635167/united-kingdom.html)'],15-150,['NOT AVAILABLE'],UNKNOWN,This dataset deals with COVID-19 vaccinations only.
237,England,0-115,"['PLASMA', 'SERUM', 'DNA', 'AVAILABILITY TO BE CONFIRMED']",1 - 10 YEARS,All of secondary care in relation to appointments and attendances
238,['https://www.geonames.org/6269131/england.html'],18-110,['NOT AVAILABLE'],1 - 10 YEARS,Specialised commissioning dataset for high risk patients
239,"['United Kingdom,England,West Midlands']",0-115,['NOT AVAILABLE'],0 - 6 MONTHS,"Views of the retina are core to the Diabetic Retinal Screening Programme and as such are a record of the patient, and provide the evidence to a retinopathy grade"
240,"['United Kingdom,England']",0-150,['NOT AVAILABLE'],6 - 12 MONTHS,All pathways about child health
241,['United Kingdom'],18-105,['NOT AVAILABLE'],UNKNOWN,Linked datasets cover secondary care.
242,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-19,['NOT AVAILABLE'],OTHER,COVID-19
243,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",18-74,['NOT AVAILABLE'],1 - 10 YEARS,Secondary care
244,['https://www.geonames.org/2634895/wales.html'],0-5,"['PM TISSUE', 'PRIMARY CELLS']",UNKNOWN,Secondary care
245,['United Kingdom'],18-75,['NOT AVAILABLE'],> 10 YEARS,Single tier of care - Secondary care outpatients
246,['https://www.geonames.org/1210997/bangladesh.html'],0-150,['NOT AVAILABLE'],OTHER,Single tier of care - Secondary care outpatients
247,"['United Kingdom,England,East Midlands']",0-150,['NOT AVAILABLE'],> 10 YEARS,"This dataset contains all Outpatient appointments for NWL patients. Each patient will be identified using an unique patient key, this can be used to link to other Discover-NOW datasets that will help track the patient pathway"
248,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,18-108,"['PLASMA', 'SERUM', 'TISSUE', 'URINE']",OTHER,"The West Midlands (WM) has a population of 5.9million & includes a diverse ethnic, socio-economic mix. There is a higher than average percentage of minority ethnic groups with Birmingham having a population which is >40% non-white. WM has a large number of elderly residents but Birmingham is one of the youngest cities in the UK.  There is social deprivation and Birmingham’s population suffers with particularly high rates of illness; including cerebrovascular Disease, physical inactivity, obesity, smoking, hypertension, ischaemic heart disease & diabetes.  There are also high levels of rare diseases, especially immunometabolic conditions.   The patients included in this dataset are representative of this diverse population and also include a wide age-range.  University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”.   University Hospitals Birmingham NHS Foundation Trust is a Comprehensive Care Haemophilia Centre (CCC) and cares for a wide range of inherited bleeding disorders, including Haemophilia A and B, von Willebrand Disorder and other clotting factor and platelet disorders.  UHB also has a mandated VTE risk and prescription prompt in the medical clerking, capturing risk factors and contraindications for anticoagulation.
This dataset includes the patient journey from admission to hospital to outcome for patients with known clotting or bleeding disorders or who develop them as a result of illness, trauma or medical therapies/interventions.  The data includes granular demography and co-morbidity, presenting symptoms and diagnoses, serial physiology and blood biomarkers, all investigations, all prescribed and administered treatments and outcomes.   It can be supplemented with preceding and following health care contacts, to understand the risk for the acute admission and the subsequent impact on health after discharge. Although primarily secondary care, this dataset can be supplemented with ambulance and primary care data on request.  PIONEER can also offer synthetic data, images and access to a secure Trusted Research Environment for analytics and AI.   PIONEER can assist with analytics, model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services"
249,['https://www.geonames.org/2638360/scotland.html'],0-150,['IN PROGRESS'],> 10 YEARS,Secondary care records for Tayside and Fife
250,West Midlands,20-64,"['DNA', 'PLASMA', 'SERUM']",> 10 YEARS,This dataset covers patients across all pathway and information related to their CMC record including resuscitation details
251,https://www.geonames.org/2638360,15-44,"['DNA', 'PLASMA', 'SERUM']",OTHER,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
252,['https://www.geonames.org/2634895/wales.html'],0-115,['NOT AVAILABLE'],> 10 YEARS,Study
253,England,0-115,['NOT AVAILABLE'],1 - 10 YEARS,Cancer registration data are collected from a range of health care provider systems and other services.
254,"['United Kingdom,England']",18-100,['NOT AVAILABLE'],UNKNOWN,Secondary care
255,"['United Kingdom,England']",40-150,['NOT AVAILABLE'],OTHER,Secondary care
256,['https://www.geonames.org/2635167/united-kingdom.html'],18-64,['NOT AVAILABLE'],OTHER,Primary care
257,England,Not Known,['NOT AVAILABLE'],OTHER,This dataset is not representative of the patient pathway
258,https://www.geonames.org/1210997/bangladesh.html,18-85,['NOT AVAILABLE'],6 - 12 MONTHS,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected.
259,England,18-85,['NOT AVAILABLE'],UNKNOWN,Covid-19 specific deaths
260,['https://www.geonames.org/2635167/united-kingdom.html'],16-150,['NOT AVAILABLE'],OTHER,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected.
261,https://www.geonames.org/2635167/united-kingdom.html,0-150,['NOT AVAILABLE'],UNKNOWN,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
262,Great Britain,0-115,['NOT AVAILABLE'],UNKNOWN,Cancer registration data are collected from a range of health care provider systems and other services.
263,Wales,0-115,['NOT AVAILABLE'],OTHER,Cancer registration data are collected from a range of health care provider systems and other services.
264,['https://www.geonames.org/6269131/england.html'],0-150,['TISSUE'],OTHER,Cancer registration data are collected from a range of health care provider systems and other services.
265,['https://www.geonames.org/6269131/england.html'],18-150,['NOT AVAILABLE'],1 - 10 YEARS,Death data is sourced from either the Scottish General Registry Office or the Community Health Index data feeds.
266,"['United Kingdom,Wales']",0-5,['NOT AVAILABLE'],> 10 YEARS,Information on asthma (adult and paediatric) and COPD patient care is extracted from GP practice record systems in Wales. All patients over the age of 35 with a diagnosis of COPD and all adults and children with a diagnosis of asthma in Wales are included.
267,https://Pakistan,18-150,['NOT AVAILABLE'],> 10 YEARS,Not representative of care pathway. Recruited consecutively from secondary care.
268,https://www.geonames.org/countries/GB/united-kingdom.html,0-115,['NOT AVAILABLE'],OTHER,Administrative data. can be linked to health data across all pathways.
269,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",18-150,['NOT AVAILABLE'],1 - 10 YEARS,Primary Care
270,['https://www.geonames.org/6269131/england.html'],0-150,['OTHER'],OTHER,Secondary care data only
271,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",18-105,"['DNA', 'PLASMA', 'SERUM']",OTHER,"The West Midlands (WM) has a population of 5.9million & includes a diverse ethnic, socio-economic mix. There is a higher than average percentage of minority ethnic groups with Birmingham having a population which is >40% non-white. WM has a large number of elderly residents.  There is social deprivation and Birmingham’s population suffers with particularly high rates of COPD; as well as high rates of physical inactivity, obesity, smoking, hypertension, ischaemic heart disease & diabetes.  There are also high levels of rare diseases, especially immunometabolic conditions.   The patients included in this dataset are representative of this diverse population and also include a wide age-range.  University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”.   This dataset includes the patient journey from admission to hospital to outcome for patients with known COPD or where a diagnosis of COPD was made or suspected on admission. The data includes granular demography and co-morbidity, presenting symptoms and diagnoses, serial physiology and blood biomarkers, all investigations, all prescribed and administered treatments and outcomes.   It can be supplemented with preceding and following health care contacts, to understand the risk for the acute admission and the subsequent impact on health after discharge. Although primarily secondary care, this dataset can be supplemented with ambulance and primary care data on request.  PIONEER can also offer synthetic data, images and access to a secure Trusted Research Environment for analytics and AI.   PIONEER can assist with analytics, model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services."
272,"['https://www.geonames.org/3042225/isle-of-man.html', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",0-150,['NOT AVAILABLE'],> 10 YEARS,"The Birmingham, Solihull and Black Country dataset is representative of the patient pathway for community screening and grading of diabetic eye disease. It covers standard UK Public Health England Diabetic Eye Screening requirements and will include patients receiving screening through the standard model, routine diabetic screening, surveillance and slit lamp examination."
273,['https://www.geonames.org/2634343/west-midlands.html'],40-150,['NOT AVAILABLE'],1 - 10 YEARS,NOT APPLICABLE
274,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,0-115,['NOT AVAILABLE'],1 - 10 YEARS,All of secondary care in relation to hospital stays
275,England,18-150,['NOT AVAILABLE'],UNKNOWN,Primary & community dispensed prescriptions
276,['https://www.geonames.org/6269131/england.html'],0-115,['OTHER'],> 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
277,Worldwide,0-20,['NOT AVAILABLE'],6 - 12 MONTHS,ALL primary and secondary care LIMS records for Tayside & Fife
