,memberOf,name,identifier,contactPoint
260,HUB,BREATHE,607db9c4e1f9d3704d570d23,registry@cysticfibrosis.org.uk
261,HUB,BREATHE,5f89662f7150a1b050be0710,nicam-icrctsu@icr.ac.uk
262,ALLIANCE,TISSUE DIRECTORY,61800787f4dde0c2a01e1ea2,SAILDatabank@swansea.ac.uk
263,ALLIANCE,HQIP,5f8992a97150a1b050be0712,enquiries@nhsdigital.nhs.uk
264,ALLIANCE,HQIP,61ba059ac688870b12a4e05b,mrcctu.icon8and8b@ucl.ac.uk
265,ALLIANCE,NIHR BIORESOURCE,607db9c2e1f9d3704d570cde,phs.edris@phs.scot
266,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,Benjamin.Ollivere@nottingham.ac.uk
267,ALLIANCE,CPRD,607db9c6e1f9d3704d570d93,SAILDatabank@swansea.ac.uk
268,HUB,PIONEER,5f3f98068af2ef61552e1d75,clare.orange@ggc.scot.nhs.uk
269,ALLIANCE,QResearch,5f3f98068af2ef61552e1d75,Ndns.Bioresource@phe.gov.uk
270,OTHER,BHF Data Science Centre,607db9c3e1f9d3704d570cfa,enquiries@nhsdigital.nhs.uk
271,ALLIANCE,HQIP,6214e1ff39af25bbdff24338,registry@cysticfibrosis.org.uk
272,ALLIANCE,HQIP,607db9c4e1f9d3704d570d1f,registry@cysticfibrosis.org.uk
273,ALLIANCE,HQIP,607db9c2e1f9d3704d570ce6,a.gentry-maharaj@ucl.ac.uk
274,ALLIANCE,HQIP,607db9c2e1f9d3704d570ce6,rio-icrctsu@icr.ac.uk
275,ALLIANCE,SAIL,607db9c4e1f9d3704d570d1f,SAILDatabank@swansea.ac.uk
276,OTHER,AIRWAVE,607db9c5e1f9d3704d570d5f,surjeet.janjuha@nhs.net
277,ALLIANCE,BARTS HEALTH,607db9c2e1f9d3704d570cee,researchers@registerfordiscover.org.uk
278,HUB,BREATHE,607db9c2e1f9d3704d570cee,SAILDatabank@swansea.ac.uk
279,ALLIANCE,UNIVERSITY OF NOTTINGHAM,607db9c2e1f9d3704d570cee,RESPIRE@ed.ac.uk
280,HUB,DISCOVER NOW,607db9c2e1f9d3704d570cee,SAILDatabank@swansea.ac.uk
281,ALLIANCE,PUBLIC HEALTH SCOTLAND,608921f2813359fb2eea45ac,richard.adams@wales.nhs.uk
282,HUB,PIONEER,607db9c4e1f9d3704d570d23,DataSharing@hqip.org.uk
283,ALLIANCE,PUBLIC HEALTH SCOTLAND,607db9c4e1f9d3704d570d23,SAILDatabank@swansea.ac.uk
284,ALLIANCE,SAIL,607db9c5e1f9d3704d570d5f,SAILDatabank@swansea.ac.uk
285,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cee,srf42@medschl.cam.ac.uk
286,ALLIANCE,QResearch,607db9c4e1f9d3704d570d1f,helpdesk@trackcovid.org.uk
287,ALLIANCE,QResearch,607db9c2e1f9d3704d570ce6,unirad-icrctsu@icr.ac.uk
288,HUB,GUT REACTION,607db9c4e1f9d3704d570d23,Sam.Rising@nottingham.ac.uk
289,ALLIANCE,TISSUE DIRECTORY,6229d9ed19d9bc228c5b2b45,SAILDatabank@swansea.ac.uk
290,HUB,BREATHE,5f3f98068af2ef61552e1d75,cheryl.gillett@kcl.ac.uk
291,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,breathe.saildatabank@swansea.ac.uk
292,HUB,GUT REACTION,5f8992a97150a1b050be0712,hicsupport@dundee.ac.uk
293,HUB,GUT REACTION,5f8437a3b7dec2a83e8cceba,clare.orange@ggc.scot.nhs.uk
294,NCS,OFFICE FOR NATIONAL STATISTICS,607db9c2e1f9d3704d570cee,sallyanne.meakins@nhs.net
295,ALLIANCE,SAIL,5fc12be363eaab9e68dae76e,joely.irlam@ics.manchester.ac.uk
296,ALLIANCE,CPRD,5f8992a97150a1b050be0712,breathe.saildatabank@swansea.ac.uk
297,ALLIANCE,CPRD,5f8992a97150a1b050be0712,datacan@uclpartners.com
298,ALLIANCE,SAIL,607db9c5e1f9d3704d570d5f,nbr@bioresource.nihr.ac.uk
299,HUB,BREATHE,607db9c4e1f9d3704d570d1f,DataSharing@hqip.org.uk
300,HUB,BREATHE,607db9c2e1f9d3704d570ce6,info@generationscotland.org
301,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,DataSharing@hqip.org.uk
302,ALLIANCE,CPRD,607db9c6e1f9d3704d570d93,breathe.saildatabank@swansea.ac.uk
303,ALLIANCE,HQIP,61ba059ac688870b12a4e05b,PIONEER@UHB.NHS.UK
304,ALLIANCE,HQIP,607db9c2e1f9d3704d570ce6,s.l.myers@leeds.ac.uk
305,HUB,PIONEER,5f3f98068af2ef61552e1d75,carolyn.gill@kcl.ac.uk
306,HUB,DISCOVER NOW,5f3f98068af2ef61552e1d75,DataSharing@hqip.org.uk
307,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570ce6,ctc.idris@ucl.ac.uk
308,ALLIANCE,CPRD,607db9c4e1f9d3704d570d23,covid.study@gosh.nhs.uk
309,HUB,BREATHE,61800787f4dde0c2a01e1ea2,RESPIRE@ed.ac.uk
310,ALLIANCE,CPRD,607db9c5e1f9d3704d570d5f,SAILDatabank@swansea.ac.uk
311,ALLIANCE,SAIL,607db9c5e1f9d3704d570d5f,SAILDatabank@swansea.ac.uk
312,HUB,DISCOVER NOW,607db9c5e1f9d3704d570d63,grampian.biorepository@nhs.net
313,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,60a62fc87dd392a16e228a8e,DataSharing@hqip.org.uk
314,HUB,INSIGHT,6214e1ff39af25bbdff24338,ctc.peace@ucl.ac.uk
315,ALLIANCE,NIHR BIORESOURCE,607db9c2e1f9d3704d570ce6,surjeet.janjuha@nhs.net
316,ALLIANCE,HQIP,5f3f98068af2ef61552e1d75,SAILDatabank@swansea.ac.uk
317,HUB,DISCOVER NOW,5f8437a3b7dec2a83e8cceba,researchers@registerfordiscover.org.uk
318,ALLIANCE,SAIL,5f3f98068af2ef61552e1d75,surjeet.janjuha@nhs.net
319,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,60c08fa84401b6d377682068,SAILDatabank@swansea.ac.uk
320,HUB,INSIGHT,5f3f98068af2ef61552e1d75,researchers@registerfordiscover.org.uk
321,ALLIANCE,PUBLIC HEALTH ENGLAND,609bc283781cac1dbab2a385,PHOTO-icrctsu@icr.ac.uk
322,ALLIANCE,QResearch,607db9c4e1f9d3704d570d23,enquiries@nhsdigital.nhs.uk
323,NCS,OFFICE FOR NATIONAL STATISTICS,5f3f98068af2ef61552e1d75,PIONEER@UHB.NHS.UK
324,HUB,DISCOVER NOW,607db9c5e1f9d3704d570d5f,Tommysnationalreproductivehealthbiobank@uhcw.nhs.uk
325,HUB,PIONEER,607db9c2e1f9d3704d570cee,phoenix-icrctsu@icr.ac.uk
326,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,NIHRLeicesterBRC@uhl-tr.nhs.uk
327,HUB,DISCOVER NOW,607db9c4e1f9d3704d570d23,SAILDatabank@swansea.ac.uk
328,NCS,OFFICE FOR NATIONAL STATISTICS,6048a783a89bdc3443823333,breathe.saildatabank@swansea.ac.uk
329,ALLIANCE,CPRD,607db9c4e1f9d3704d570d23,DataSharing@hqip.org.uk
330,ALLIANCE,GENOMICS ENGLAND,5f89662f7150a1b050be0710,DataSharing@hqip.org.uk
331,HUB,BREATHE,5f7b1a2bce9f65e6ed83e7da,researchers@registerfordiscover.org.uk
332,ALLIANCE,SAIL,607db9c2e1f9d3704d570ce6,john.cason@kcl.ac.uk
333,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c3e1f9d3704d570d0a,enquiries@nhsdigital.nhs.uk
334,ALLIANCE,SAIL,600f270ea006832002953674,SAILDatabank@swansea.ac.uk
335,ALLIANCE,SAIL,607db9c2e1f9d3704d570ce6,bristol-biobank@bristol.ac.uk
336,OTHER,BHF Data Science Centre,5f89662f7150a1b050be0710,DataSharing@hqip.org.uk
337,ALLIANCE,NHS DIGITAL,5f8992a97150a1b050be0712,requite@manchester.ac.uk
338,ALLIANCE,SAIL,5f8992a97150a1b050be0712,import-icrctsu@icr.ac.uk
339,ALLIANCE,SAIL,5f8992a97150a1b050be0712,
340,ALLIANCE,SAIL,61800787f4dde0c2a01e1ea2,
341,ALLIANCE,HQIP,607db9c4e1f9d3704d570d3f,
342,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,5f8992a97150a1b050be0712,
343,HUB,BREATHE,5fc12be363eaab9e68dae76e,
344,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,
345,ALLIANCE,ROYAL COLLEGE OF GENERAL PRACTITIONERS,607db9c2e1f9d3704d570ce6,
346,ALLIANCE,HQIP,607db9c3e1f9d3704d570cfa,
347,ALLIANCE,PUBLIC HEALTH SCOTLAND,607db9c2e1f9d3704d570ce6,
348,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c6e1f9d3704d570d93,
349,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c4e1f9d3704d570d1f,
350,ALLIANCE,HQIP,607db9c4e1f9d3704d570d1f,
351,HUB,DISCOVER NOW,60a630c77dd392a16e228a92,
352,HUB,BREATHE,5f89662f7150a1b050be0710,
353,ALLIANCE,RENAL ASSOCIATION,5f3f98068af2ef61552e1d75,
354,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,
355,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c2e1f9d3704d570ce6,
356,NCS,OFFICE FOR NATIONAL STATISTICS,5f89662f7150a1b050be0710,
357,ALLIANCE,CPRD,607db9c2e1f9d3704d570cde,
358,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c4e1f9d3704d570d23,
359,ALLIANCE,HQIP,5f8992a97150a1b050be0712,
360,HUB,DISCOVER NOW,613b2174b8b58d157f531e7a,
361,ALLIANCE,NHS DIGITAL,607db9c2e1f9d3704d570cee,
362,HUB,INSIGHT,61800787f4dde0c2a01e1ea2,
363,HUB,PIONEER,607db9c4e1f9d3704d570d1f,
364,ALLIANCE,TISSUE DIRECTORY,607db9c4e1f9d3704d570d1f,
365,HUB,INSIGHT,607db9c4e1f9d3704d570d23,
366,HUB,DATA-CAN,61603974c8c15ee90b768546,
367,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,
368,HUB,BREATHE,5f3f98068af2ef61552e1d75,
369,ALLIANCE,TISSUE DIRECTORY,607db9c5e1f9d3704d570d5f,
370,HUB,INSIGHT,607db9c2e1f9d3704d570cee,
371,HUB,BREATHE,607db9c2e1f9d3704d570ce6,
372,ALLIANCE,HQIP,60a630c77dd392a16e228a92,
373,ALLIANCE,TISSUE DIRECTORY,607db9c5e1f9d3704d570d5f,
374,HUB,BREATHE,607db9c2e1f9d3704d570ce6,
375,HUB,BREATHE,607db9c4e1f9d3704d570d23,
376,ALLIANCE,TISSUE DIRECTORY,5f89662f7150a1b050be0710,
377,ALLIANCE,CPRD,613b2174b8b58d157f531e7a,
378,ALLIANCE,NHS DIGITAL,5f3f98068af2ef61552e1d75,
379,ALLIANCE,HQIP,607db9c2e1f9d3704d570cee,
380,ALLIANCE,SAIL,607db9c3e1f9d3704d570d0a,
381,OTHER,TWINS UK,607db9c2e1f9d3704d570cde,
382,ALLIANCE,SAIL,5fc12be363eaab9e68dae76e,
383,ALLIANCE,HQIP,61800787f4dde0c2a01e1ea2,
384,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c5e1f9d3704d570d5f,
385,ALLIANCE,NHS DIGITAL,5f3f98068af2ef61552e1d75,
386,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,5f8992a97150a1b050be0712,
387,ALLIANCE,SAIL,607db9c2e1f9d3704d570cee,
388,ALLIANCE,PUBLIC HEALTH SCOTLAND,5f3f98068af2ef61552e1d75,
389,OTHERS,GODARTS,607db9c5e1f9d3704d570d5f,
390,HUB,DISCOVER NOW,5f86cd34980f41c6f02261f4,
391,HUBS,ALLEVIATE,607db9c2e1f9d3704d570cee,
392,ALLIANCE,TISSUE DIRECTORY,5f86cd34980f41c6f02261f4,
393,HUB,BREATHE,5f3f98068af2ef61552e1d75,
394,HUB,INSIGHT,624472a84ca5dcd8ea6e0d71,
395,ALLIANCE,AVON LONGITUDINAL STUDY OF PARENTS AND CHILDREN,5f3f98068af2ef61552e1d75,
396,HUB,PIONEER,607db9c3e1f9d3704d570cfa,
397,ALLIANCE,NIHR BIORESOURCE,5f8992a97150a1b050be0712,
398,ALLIANCE,HQIP,5f8437a3b7dec2a83e8cceba,
399,HUB,PIONEER,5f89662f7150a1b050be0710,
400,HUB,BREATHE,607db9c2e1f9d3704d570cee,
401,ALLIANCE,BARTS HEALTH,5f3f98068af2ef61552e1d75,
402,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,
403,HUB,GUT REACTION,5f3f98068af2ef61552e1d75,
404,ALLIANCE,NIHR BIORESOURCE,607db9c2e1f9d3704d570cee,
405,ALLIANCE,HQIP,607db9c4e1f9d3704d570d1f,
406,ALLIANCE,HQIP,61800787f4dde0c2a01e1ea2,
407,ALLIANCE,SAIL,5f89662f7150a1b050be0710,
408,ALLIANCE,NHS DIGITAL,607db9c4e1f9d3704d570d1f,
409,HUB,INSIGHT,5f3f98068af2ef61552e1d75,
410,ALLIANCE,NHSX,607db9c4e1f9d3704d570d23,
411,ALLIANCE,TISSUE DIRECTORY,5f8992a97150a1b050be0712,
412,OTHER,UK Longitudinal Linkage Collaboration (UK LLC),5f3f98068af2ef61552e1d75,
413,ALLIANCE,SAIL,5fc12be363eaab9e68dae76e,
414,HUBS,ALLEVIATE,5f8992a97150a1b050be0712,
415,ALLIANCE,SAIL,607db9c4e1f9d3704d570d23,
416,ALLIANCE,CPRD,607db9c3e1f9d3704d570d0a,
417,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,5f3f98068af2ef61552e1d75,
418,ALLIANCE,TISSUE DIRECTORY,61ba059ac688870b12a4e05b,
419,ALLIANCE,SAIL,5f3f98068af2ef61552e1d75,
420,HUBS,ALLEVIATE,607db9c4e1f9d3704d570d23,
421,ALLIANCE,QResearch,607db9c4e1f9d3704d570d1f,
422,HUB,PIONEER,607db9c2e1f9d3704d570ce6,
423,ALLIANCE,TISSUE DIRECTORY,607db9c4e1f9d3704d570d23,
424,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,6214e1ff39af25bbdff24338,
425,ALLIANCE,SAIL,607db9c2e1f9d3704d570cee,
426,ALLIANCE,NIHR BIORESOURCE,607db9c2e1f9d3704d570ce6,
427,ALLIANCE,NIHR BIORESOURCE,613b2174b8b58d157f531e7a,
428,ALLIANCE,NHS DIGITAL,613b2174b8b58d157f531e7a,
429,ALLIANCE,SAIL,607db9c2e1f9d3704d570cea,
430,ALLIANCE,HQIP,607db9c3e1f9d3704d570cfe,
431,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,607db9c4e1f9d3704d570d23,
432,HUB,BREATHE,607db9c2e1f9d3704d570cde,
433,HUB,BREATHE,607db9c5e1f9d3704d570d5f,
434,HUBS,DATAMIND,5f8992a97150a1b050be0712,
435,ALLIANCE,PUBLIC HEALTH SCOTLAND,607db9c4e1f9d3704d570d23,
436,ALLIANCE,QResearch,607db9c2e1f9d3704d570ce6,
437,HUB,INSIGHT,5f3f98068af2ef61552e1d75,
438,ALLIANCE,BARTS HEALTH,607db9c4e1f9d3704d570d3f,
439,ALLIANCE,SAIL,607db9c4e1f9d3704d570d1f,
440,ALLIANCE,GENOMICS ENGLAND,613b2174b8b58d157f531e7a,
441,ALLIANCE,SAIL,607db9c7e1f9d3704d570d97,
442,ALLIANCE,UNIVERSITY OF NOTTINGHAM,609bc283781cac1dbab2a385,
443,ALLIANCE,SAIL,5f3f98068af2ef61552e1d75,
444,ALLIANCE,SAIL,607db9c4e1f9d3704d570d1f,
445,ALLIANCE,SAIL,607db9c4e1f9d3704d570d3f,
446,HUB,DISCOVER NOW,5f8992a97150a1b050be0712,
447,HUB,PIONEER,607db9c5e1f9d3704d570d5f,
448,ALLIANCE,NIHR Nottingham Biomedical Research Centre,609bc283781cac1dbab2a385,
449,ALLIANCE,TISSUE DIRECTORY,607db9c6e1f9d3704d570d93,
450,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c2e1f9d3704d570cee,
451,HUB,BREATHE,61ba059ac688870b12a4e05b,
452,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cee,
453,HUB,BREATHE,607db9c5e1f9d3704d570d5f,
454,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c3e1f9d3704d570d0a,
455,HUB,BREATHE,5f3f98068af2ef61552e1d75,
456,ALLIANCE,TISSUE DIRECTORY,5f8992a97150a1b050be0712,
457,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,
458,OTHER,The University of Cambridge,613b2174b8b58d157f531e7a,
459,HUB,DISCOVER NOW,607db9c3e1f9d3704d570cfa,
460,HUB,PIONEER,5f3f98068af2ef61552e1d75,
461,ALLIANCE,CYSTIC FIBROSIS TRUST,607db9c2e1f9d3704d570cee,
462,ALLIANCE,TISSUE DIRECTORY,607db9c3e1f9d3704d570d0a,
463,HUB,BREATHE,607db9c4e1f9d3704d570d23,
464,ALLIANCE,CPRD,607db9c5e1f9d3704d570d5f,
465,HUB,BREATHE,607db9c2e1f9d3704d570cee,
466,ALLIANCE,TISSUE DIRECTORY,5f8992a97150a1b050be0712,
467,ALLIANCE,CPRD,61800787f4dde0c2a01e1ea2,
468,ALLIANCE,CPRD,607db9c2e1f9d3704d570ce6,
469,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cee,
470,ALLIANCE,CPRD,5f3f98068af2ef61552e1d75,
471,ALLIANCE,NIHR CLINICAL RESEARCH NETWORK,5f86cd34980f41c6f02261f4,
472,ALLIANCE,HQIP,60a62fc87dd392a16e228a8e,
473,ALLIANCE,SAIL,5f86cd34980f41c6f02261f4,
474,ALLIANCE,HQIP,5f8992a97150a1b050be0712,
475,HUB,PIONEER,61800787f4dde0c2a01e1ea2,
476,ALLIANCE,BARTS HEALTH,61ba059ac688870b12a4e05b,
477,ALLIANCE,HQIP,607db9c2e1f9d3704d570cee,
478,ALLIANCE,CPRD,5fc12be363eaab9e68dae76e,
479,ALLIANCE,CPRD,5f8992a97150a1b050be0712,
480,ALLIANCE,CPRD,5f3f98068af2ef61552e1d75,
481,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c5e1f9d3704d570d5f,
482,HUB,BREATHE,5f8992a97150a1b050be0712,
483,ALLIANCE,HQIP,61ba059ac688870b12a4e05b,
484,ALLIANCE,"Research and Innovation at Nottingham University Hospitals, NHS Trust",5f3f98068af2ef61552e1d75,
485,ALLIANCE,IMPERIAL COLLEGE LONDON,607db9c5e1f9d3704d570d5f,
486,ALLIANCE,SAIL,61c0b0afc847cf2684f2f7e9,
487,ALLIANCE,SAIL,61ba059ac688870b12a4e05b,
488,ALLIANCE,PUBLIC HEALTH SCOTLAND,61ba059ac688870b12a4e05b,
489,HUB,PIONEER,5f8437a3b7dec2a83e8cceba,
490,HUB,INSIGHT,607db9c4e1f9d3704d570d23,
491,ALLIANCE,CPRD,607db9c4e1f9d3704d570d23,
492,NCS,OFFICE FOR NATIONAL STATISTICS,5f3f98068af2ef61552e1d75,
493,ALLIANCE,PUBLIC HEALTH SCOTLAND,5f86cd34980f41c6f02261f4,
494,ALLIANCE,PUBLIC HEALTH SCOTLAND,60cb538a7018342af889e974,
495,ALLIANCE,TISSUE DIRECTORY,60a630c77dd392a16e228a92,
496,HUB,PIONEER,5f3f98068af2ef61552e1d75,
497,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,
498,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,5f8992a97150a1b050be0712,
499,HUB,BREATHE,607db9c4e1f9d3704d570d1f,
500,HUB,BREATHE,607db9c6e1f9d3704d570d93,
501,ALLIANCE,HQIP,607db9c2e1f9d3704d570cee,
502,ALLIANCE,UNIVERSITY OF NOTTINGHAM,607db9c4e1f9d3704d570d23,
503,HUB,DATA-CAN,607db9c2e1f9d3704d570cee,
504,ALLIANCE,SAIL,607db9c4e1f9d3704d570d23,
505,ALLIANCE,QResearch,5f3f98068af2ef61552e1d75,
506,HUB,DATA-CAN,607db9c5e1f9d3704d570d5f,
507,HUB,BREATHE,5f8992a97150a1b050be0712,
508,ALLIANCE,TISSUE DIRECTORY,607db9c5e1f9d3704d570d5f,
509,ALLIANCE,SAIL,607db9c2e1f9d3704d570ce6,
510,ALLIANCE,TISSUE DIRECTORY,5f89662f7150a1b050be0710,
511,ALLIANCE,PUBLIC HEALTH SCOTLAND,613b2174b8b58d157f531e7a,
512,ALLIANCE,TISSUE DIRECTORY,,
513,ALLIANCE,SAIL,,
514,HUB,BREATHE,,
515,OTHER,UNIVERSITY COLLEGE LONDON,,
516,ALLIANCE,SAIL,,
517,ALLIANCE,HQIP,,
518,HUBS,DATAMIND,,
519,HUB,PIONEER,,
520,ALLIANCE,TISSUE DIRECTORY,,
521,HUB,PIONEER,,
522,ALLIANCE,PUBLIC HEALTH ENGLAND,,
523,OTHER,MRC EPIDEMIOLOGY UNIT - UNIVERSITY OF CAMBRIDGE,,
524,ALLIANCE,NIHR Nottingham Biomedical Research Centre,,
525,ALLIANCE,CPRD,,
526,HUB,BREATHE,,
527,ALLIANCE,SAIL,,
528,HUB,INSIGHT,,
529,ALLIANCE,HQIP,,
530,HUB,DATA-CAN,,
531,ALLIANCE,SAIL,,
532,OTHER,OPTIMUM PATIENT CARE,,
533,HUB,BREATHE,,
534,ALLIANCE,SAIL,,
535,ALLIANCE,RENAL ASSOCIATION,,
536,HUB,GUT REACTION,,
537,ALLIANCE,HQIP,,
538,HUB,BREATHE,,
539,ALLIANCE,SAIL,,
540,ALLIANCE,SAIL,,
541,HUB,PIONEER,,
542,ALLIANCE,CPRD,,
543,ALLIANCE,SAIL,,
544,ALLIANCE,HQIP,,
545,ALLIANCE,NEONATAL DATA ANALYSIS UNIT - IMPERIAL COLLEGE LONDON,,
546,ALLIANCE,TISSUE DIRECTORY,,
547,ALLIANCE,HQIP,,
548,ALLIANCE,SAIL,,
549,ALLIANCE,HQIP,,
550,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,,
551,HUB,DATA-CAN,,
552,OTHER,HEALTH DATA RESEARCH UK,,
553,HUB,BREATHE,,
554,ALLIANCE,SAIL,,
555,HUB,GUT REACTION,,
556,ALLIANCE,SAIL,,
557,ALLIANCE,HQIP,,
558,ALLIANCE,TISSUE DIRECTORY,,
559,ALLIANCE,ISARIC 4C,,
560,HUB,BREATHE,,
561,ALLIANCE,UNIVERSITY HOSPITALS OF LEICESTER,,
562,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,,
563,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
564,ALLIANCE,TISSUE DIRECTORY,,
565,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
566,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
567,HUBS,DATAMIND,,
568,ALLIANCE,NIHR BIORESOURCE,,
569,ALLIANCE,SAIL,,
570,ALLIANCE,HQIP,,
571,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
572,HUB,BREATHE,,
573,HUB,PIONEER,,
574,HUB,DISCOVER NOW,,
575,ALLIANCE,SAIL,,
576,NCS,OFFICE FOR NATIONAL STATISTICS,,
577,ALLIANCE,SAIL,,
578,HUB,BREATHE,,
579,HUB,DISCOVER NOW,,
580,HUB,BREATHE,,
581,ALLIANCE,UNIVERSITY OF NOTTINGHAM,,
582,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
583,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
584,ALLIANCE,NHS DIGITAL,,
585,ALLIANCE,PARKINSONS UK,,
586,HUB,GUT REACTION,,
587,ALLIANCE,TISSUE DIRECTORY,,
588,HUB,DISCOVER NOW,,
589,ALLIANCE,TISSUE DIRECTORY,,
590,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,,
591,ALLIANCE,CYSTIC FIBROSIS TRUST,,
592,ALLIANCE,BARTS HEALTH,,
593,ALLIANCE,TISSUE DIRECTORY,,
594,ALLIANCE,TISSUE DIRECTORY,,
595,ALLIANCE,TISSUE DIRECTORY,,
596,ALLIANCE,SAIL,,
597,ALLIANCE,HQIP,,
598,HUB,BREATHE,,
599,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,,
600,ALLIANCE,BARTS HEALTH,,
601,ALLIANCE,HQIP,,
602,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
603,HUBS,ALLEVIATE,,
604,ALLIANCE,CPRD,,
605,HUBS,DATAMIND,,
606,ALLIANCE,CYSTIC FIBROSIS TRUST,,
607,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
608,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
609,ALLIANCE,SAIL,,
610,ALLIANCE,CYSTIC FIBROSIS TRUST,,
611,ALLIANCE,SAIL,,
612,ALLIANCE,HQIP,,
613,ALLIANCE,DataLoch,,
614,HUB,BREATHE,,
615,ALLIANCE,SAIL,,
616,ALLIANCE,SAIL,,
617,ALLIANCE,SAIL,,
618,HUB,PIONEER,,
619,ALLIANCE,TISSUE DIRECTORY,,
620,ALLIANCE,CPRD,,
621,HUB,BREATHE,,
622,ALLIANCE,TISSUE DIRECTORY,,
623,ALLIANCE,PARKINSONS UK,,
624,HUB,PIONEER,,
625,ALLIANCE,HQIP,,
626,HUB,BREATHE,,
627,ALLIANCE,HQIP,,
628,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,,
629,HUBS,ALLEVIATE,,
630,ALLIANCE,SAIL,,
631,ALLIANCE,CPRD,,
632,HUB,GUT REACTION,,
633,ALLIANCE,BARTS HEALTH,,
634,NCS,OFFICE FOR NATIONAL STATISTICS,,
635,HUBS,DATAMIND,,
636,ALLIANCE,HQIP,,
637,HUB,PIONEER,,
638,ALLIANCE,SAIL,,
639,ALLIANCE,SAIL,,
640,ALLIANCE,OXFORD UNIVERSITY HOSPITALS,,
641,ALLIANCE,TISSUE DIRECTORY,,
642,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
643,ALLIANCE,CPRD,,
644,ALLIANCE,SAIL,,
645,HUB,PIONEER,,
646,ALLIANCE,TISSUE DIRECTORY,,
647,ALLIANCE,NHS DIGITAL,,
648,ALLIANCE,CYSTIC FIBROSIS TRUST,,
649,ALLIANCE,CPRD,,
650,ALLIANCE,NHS DIGITAL,,
651,ALLIANCE,TISSUE DIRECTORY,,
652,ALLIANCE,SAIL,,
653,ALLIANCE,NHS DIGITAL,,
654,ALLIANCE,SAIL,,
655,OTHER,UCLEB Consortium,,
656,ALLIANCE,TISSUE DIRECTORY,,
657,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
658,ALLIANCE,SAIL,,
659,HUB,DISCOVER NOW,,
660,ALLIANCE,UNIVERSITY OF NOTTINGHAM,,
