,description,associatedMedia,isPartOf
161,"Whereas most of the evidence generated from the start of the global pandemic, COVID-19, focuses on epidemiological, diagnostic and clinical aspects of the illness, importance of social aspects has also been highlighted. This has been included as one of the 34 knowledge gaps specified in the WHO R&D Blueprint WHO 2019 Novel Coronavirus Global research and innovation forum: towards a research roadmap published recently. One of the key approaches to containing COVID-19 has been self-quarantine and social distancing, which although is the need of the day but not easy to manage posing multiple challenges especially in a Pakistani community which follows strong cultural and social beliefs. It is, therefore important to identify the perception, practice and attitude of the community towards containing this disease. These insights are important for national health officials planning to implement control measures in an existing diverse socio-cultural system, an aspect which has been highlighted in the National Action Plan (NAP) for COVID-19 in Pakistan, published on 13th March 2020.

For further information, see: https://www.ed.ac.uk/usher/respire/covid-19/community-perception-public-health-measures","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw', 'https://saildatabank.com/']",National Clinical Audit and Patient Outcomes Programme (NCAPOP)
162,"This data can be used to identify causes of death.  As this data does not originate from the health service, it is not originally CHI seeded.  From approx. 2015 onwards, the data was supplied with CHI number, though only covering around 95% of the data.
Prior to 2015, and for those records supplied with no CHI an automated mechanism which identifies over 90% of the records is used to CHI seed.  This is further augmented by manual data entry.

Due to these procedures, this dataset does not necessarily represent all deceased persons.",['https://www.insight.hdrhub.org/about-us'],UKCRC Tissue Directory and Coordination Centre
163,Locally defined dataset containing a full list of patient registrations held within the Trust's EHR system. Details extend to include GP details and patient identifers.,['https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/884776/A_guide_to_NCRAS_data_and_its_availability__1_.pdf'],No Group
164,"COVID-19 UK Non-hospital Antigen Testing Results (Pillar 2) data is required by NHS Digital to support COVID-19 requests for linkage, analysis and dissemination to other organisations. These requests are often urgent and in support of direct care and service monitoring, planning and research. These are all functions that NHS Digital have been asked to deliver as a national resource in response to COVID-19, through the recent direction from the SoS.

Antigen test results relate to subjects who have had swab testing in the community at drive through test centres, walk in centres, home kits returned by posts, care homes, prisons etc.

The dataset is composed of:
• Patient identity and contact details
• Testing centre and laboratory details
• Test results
• Test kit types (manufacturer)

The data cover the UK and is collected under SoS Covid Direction under s254 of the HSCA 2012 and s255 requests from devolved administrations for Scotland, Northern Ireland and Wales. This is an expansion of the original scope which only included data for welsh patients tested in other parts of the UK.

Data is currently available for dissemination through the NHS Digital DARS service for England. If your extract is to include data from the devolved administrations their approval will also be required.

Timescales for dissemination can be found under 'Our Service Levels' at the following link: https://digital.nhs.uk/services/data-access-request-service-dars/data-access-request-service-dars-process","['https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/latest', 'https://www.ndm.ox.ac.uk/files/coronavirus/covid-19-infection-survey/protocolcovidinfectionsurveyv4-020200721.pdf']",CPRD Aurum
165,"Watch and Wait is a randomised phase III trial to determine whether initial treatment with rituximab in patients with advanced stage asymptomatic follicular lymphoma  (grades 1, 2 and 3a) results in a significant delay in the initiation of chemotherapy or radiotherapy and the impact of each strategy on patient-related quality of life.
360 patients randomised to receive either Rituximab treatment and maintenance or to a Watch and Wait strategy.
Samples collected for trial: Formalin fixed paraffin embedded tumour block or unstained slides (lymph node and bone marrow)- sent to HMDS.  Blood and bone marrow sample taken at baseline and if patient in CR clinically and radiologically at 7, 13 and 25 months - sent to University College London Hospital.","['https://imperialcollegehealthpartners.com/discover-now/north-west-london-covid-19-data-repository/', 'https://www.nwlondonccgs.nhs.uk/professionals/whole-systems-integrated-care-wsic-dashboards-and-information-sharing/information-de-identified-users']",No Group
166,"The dataset provides information about SARS-CoV-2 variants of concern and
variants under investigation in Wales. This includes phylogenetic and mutational information about samples.",['https://www.pioneerdatahub.co.uk/wp-content/uploads/Frailty-COVID-Infographic-V2-page-001.jpg'],NOT APPLICABLE
167,"The dataset contains patient identifiers such as name, date of birth, Community Health Index number, NHS number, postcode and ethnicity and episode management data. Of particular interest to researchers would be variables such as where the episode took place, admission type (includes patient injury classifications such as self-inflicted or home accident), waiting times, patients condition (as classified under ICD-10), operations, and discharge location. A wide variety of geographical data is also included in the dataset including Scottish Index of Multiple Deprivation and Carstairs measures, census output area, NHS Board, Electoral Ward and Parliamentary constituency.","['https://imperialcollegehealthpartners.com/discover-now/north-west-london-covid-19-data-repository/', 'https://www.nwlondonccgs.nhs.uk/professionals/whole-systems-integrated-care-wsic-dashboards-and-information-sharing/information-de-identified-users']",UKCRC Tissue Directory and Coordination Centre
168,"NIHR Bioresource DAA063: 
This data base contains numerical  data in Crohn's disease linking metabolic syndrome to related disease outcomes.",['https://www.cprd.com/linked-data'],National Clinical Audit and Patient Outcomes Programme (NCAPOP)
169,"Community Acquired Pneumonia (CAP) is the leading cause of infectious death and the third leading cause of death globally. Disease severity and outcomes are highly variable, dependent on host factors (such as age, smoking history, frailty and comorbidities), microbial factors (the causative organism) and what treatments are given. Clinical decision pathways are complex and despite guidelines, there is significant national variability in how guidelines are adhered to and patient outcomes.

For clinicians treating pneumonia in the hospital setting, care of these patients can be challenging. Key decisions include the type of antibiotics (oral or intravenous), the appropriate place of care (home, hospital or intensive care), and when it is appropriate to stop antibiotics. Decision support tools to help inform clinical management would be highly valuable to the clinical community.

This dataset is synthetic, formed from statistical modelling using real patient data, and represents a population with significant diversity in terms of patient demography, socio-economic status, CAP severity, treatments and outcomes. It can be used to develop code for deployment on real data, train data analysts and increase familiarity with this disease and its management.

PIONEER geography: The West Midlands (WM) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix. 

EHR. UHB is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & an expanded 250 ITU bed capacity during COVID. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”.  This synthetic dataset has been modelled to reflect data collected from this EHR.

Scope: A synthetic dataset which has been statistically modelled on all hospitalised patients admitted to UHB  with Community Acquired Pneumonia. The dataset includes highly granular patient demographics & co-morbidities taken from ICD-10 & SNOMED-CT codes. Serial, structured data pertaining to process of care including timings, admissions, escalation of care to ITU, discharge outcomes, physiology readings (heart rate, blood pressure, AVPU score and others), blood results and drug prescribing and administration.

Available supplementary data: Matched synthetic controls; ambulance, OMOP data, real patient CAP data.
Available supplementary support: Analytics, Model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services.","['https://cnfl.extge.co.uk/display/GERE/Genomics+England+Research+Environment', 'https://cb.extge.co.uk/labkey/CohortBrowser/project-begin.view?pageId=Introduction', 'https://youtu.be/Kie3HY8y6AU', 'https://youtu.be/EAjPVcAlGpM', 'https://youtu.be/5QhNjE_hdsQ']",Not Applicable
170,"Knee osteoarthritis (OA) is the most common joint disease worldwide. As of today, there are no disease-modifying drugs, but there is evidence that muscle strengthening exercises can substantially reduce pain and improve function in this disorder, and one very well tested physiotherapy protocol is the 'Better Management of Patients with Osteoarthritis' developed in Sweden. Given the high prevalence of knee OA, a potentially cost-effective, digitally delivered approach to treat knee OA should be trialled. This study aims to explore the benefits of iBEAT-OA (Internet-Based Exercise programme Aimed at Treating knee Osteoarthritis) in modulating pain, function and other health-related outcomes in individuals with knee OA.

A randomised controlled trial was designed to evaluate the efficacy of a web-based exercise programme in a population with knee OA compared with standard community care provided by general practitioners (GPs) in the UK. We anticipate recruiting participants into equal groups. The intervention group (n=67) will exercise for 20-30 min daily for six consecutive weeks, whereas the control group (n=67) will follow GP-recommended routine care. The participants will be assessed using a Numerical Rating Scale, the Western Ontario and McMaster Universities Osteoarthritis Index, the Arthritis Research UK Musculoskeletal Health Questionnaire, the Pittsburgh Sleep Quality Index, 30 s sit to stand test, timed up and go test, quantitative sensory testing, musculoskeletal ultrasound scan, muscle thickness assessment of the vastus lateralis, and quadriceps muscles force generation during an isokinetic maximum voluntary contraction (MVC). Samples of urine, blood, faeces and synovial fluid will be collected to establish biomarkers associated with changes in pain and sleep patterns in individuals affected with knee OA. Standard parametric regression methods will be used for statistical analysis.","['https://saildatabank.com/about-us/overview/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw']",University of Dundee Health Informatics Centre
171,"Background 

Sarcomas are uncommon cancers that can affect any part of the body. There are many different types of sarcoma and subtypes can be grouped into soft tissue or bone sarcomas. About 15 people are diagnosed every day in the UK. 3 in every 200 people with cancer in the UK have sarcoma. 

A highly granular dataset with a confirmed sarcoma event including hospital presentation, serial physiology, demography, treatment prescribed and administered, prescribed and administered drugs. The infographic includes data from 27/12/2004 to 31/12/2021 but data is available from the past 10 years+.  

PIONEER geography: The West Midlands (WM) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix.  

EHR. UHB is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & an expanded 250 ITU bed capacity during COVID. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”. 

Scope: All hospitalised patients from 2004 onwards, curated to focus on Sarcoma. Longitudinal & individually linked, so that the preceding & subsequent health journey can be mapped & healthcare utilisation prior to & after admission understood. The dataset includes highly granular patient demographics & co-morbidities taken from ICD-10 & SNOMED-CT codes. Serial, structured data pertaining to acute care process (timings, staff grades, specialty review, wards and triage). Along with presenting complaints, outpatients admissions, microbiology results, referrals, procedures, therapies, all physiology readings (pulse, blood pressure, respiratory rate, oxygen saturations and others), and all blood results (urea, albumin, platelets, white blood cells and others). Includes all prescribed & administered treatments and all outcomes.  Linked images are also available (radiographs, CT scans, MRI). 

Available supplementary data: Matched controls; ambulance, OMOP data, synthetic data. 

Available supplementary support: Analytics, Model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services.","['https://saildatabank.com/about-us/overview/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw']",BREATHE
172,"CPRD GOLD linked Cancer Patient Experience Survey (CPES) data include information from patients who have responded to the CPES about their cancer journey from their initial GP visit prior to diagnosis, through diagnosis and treatment and to the ongoing management of their cancer.",['https://saildatabank.com/about-us/overview/'],BREATHE
173,"This continuously ascertained record level dataset contains information on all patients admitted to hospital with hip fractures in England, Wales and Northern Ireland. The dataset incorporates multiple aspects of patients' care including time to orthogeriatric assessment, time to surgery, assessment of delirium and discharge destination.

Full clinical dataset and theatre sheet available upon request: NHFD@rcplondon.ac.uk",['https://www.hdruk.ac.uk/projects/cvd-covid-uk-project/'],NOT APPLICABLE
174,"The dataset currently contains (1) a table of time periods (defined with start and end dates) during which a patient had any diagnosis of asthma; (2) and table of time periods for asthma severity level (based on prescriptions), asthma exacerbations, asthma-related hospital episodes, and asthma control; and (3) a table for other asthma-related data represented as events (e.g., lung function, blood tests, and A&E visit).

Includes an e-cohort of most people with a history of asthma in Wales, derived from the SAIL Databank's core datasets. Individuals are identified from the Welsh Longitudinal General Practice (WLGP) using several case definitions (e.g., having ever GP asthma diagnosis, asthma treatment in the last 12 months, or both). Data for each patient include essential research-ready asthma-related variables derived from primary and secondary care data, such as asthma treatment step, asthma severity, asthma exacerbations, and asthma-related death. The case definitions and some clinical variables are represented as clinical states. Additional case definitions and variables are actively being added. The WAO dataset is intended to support a wide range of cross-sectional and longitudinal epidemiological asthma studies as well as asthma surveillance, service planning, and health policy.","['https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths', 'https://digital.nhs.uk/coronavirus/coronavirus-data-services-updates/mortality-data-review']",UKCRC Tissue Directory and Coordination Centre
175,"A survey completed by lead consultant surgeons at each hospital in England and Wales detailing the availability of a wide range of services for patients with bowel cancer including palliative care, oncology, diagnostics, enhanced recovery and specialist surgical services.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",UKCRC Tissue Directory and Coordination Centre
176,"TRICON8B is the translational research sub-study of the ICON8B trial. The aim is to establish a large, comprehensive biobank comprising tumour tissue, blood and serial plasma samples with associated clinical data which will be an invaluable resource for high-quality translational research in ovarian cancer. 
ICON8B is a phase III randomised trial investigating the combination of dose-fractionated chemotherapy and bevacizumab compared to either strategy alone for the first-line treatment of women with newly diagnosed high-risk stage III-IV epithelial ovarian, fallopian tube or primary peritoneal cancer.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",Pathology
177,"The NNRD is a national resource holding real-world clinical data captured in the course of care on all admissions to NHS neonatal units in England, Wales, Scotland and the Isle of Man. Neonatal units submit data through their Electronic Patient Record system supplier. At present, there is information on around one million babies and 10 million days of care in the NNRD.

The NNRD is available to support audit, evaluations, bench-marking, quality improvement and clinical, epidemiological, health services and policy research to improve patient care and outcomes. Data in the NNRD comprise the Neonatal Data Set (ISB1595), an approved NHS Information Standard and include demographic details, daily records of interventions and treatments throughout the neonatal inpatient stay, information on diagnoses and outcomes, and follow-up health status at age two years. 

The Neonatal Data Analysis Unit was founded to support the management and development of the National Neonatal Research Database (NNRD) established in 2007 by Professor Modi, and related research.

More information can be found at
https://www.imperial.ac.uk/neonatal-data-analysis-unit","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",UKCRC Tissue Directory and Coordination Centre
178,"This wholly synthetic dataset is based on real anonymised primary care patient data extracted from the CPRD Aurum database and focuses on cardiovascular disease risk factors.
Researchers will not be able to access the real anonymised patient data extract which was used as the basis for the synthetic dataset generation to preserve patient privacy.
The ground truth data extract was subject to data pre-processing and as such, the synthetic dataset, which is based on this, does not reflect the structure of the source CPRD Aurum
database. This synthetic dataset was developed as part of a project funded by the Regulators’ Pioneer Fund launched by The Department for Business, Energy and Industrial Strategy (BEIS) and
managed by Innovate UK. The methodology used to generate and evaluate this synthetic dataset is outlined in Wang et al. 2019.",['https://www.hqip.org.uk/a-z-of-nca/falls-and-fragility-fractures-includes-the-hip-fracture-database/#.YKJrbahKiUk'],CDS
179,Information on attendances at emergency care departments in 2 Trusts of the 5 Health & Social Care Trusts in Northern Ireland - see Emergency Department (Symphony) for the other 3 Trusts.,['https://www.isdscotland.org/Health-Topics/Emergency-Care/Accident-and-Emergency-Data-Mart/'],No Group
180,Rural Payments Wales is a safety net for farmers as a supplement to their main farm business income.,['https://www.hqip.org.uk/a-z-of-nca/national-cardiac-audit-programme-ncap/#.YKPMaqhKiUk'],No Group
181,"The ambulance services statistics show monthly data for Wales on the number of calls and the time taken to respond to an incident. Information is available by Local Health Board (LHB) and for Wales. The latest and past versions of the release are available on the ambulance services page. Since April 2014, Local Health Boards have been responsible for providing emergency ambulance services (999 calls) for their local residents; the Welsh Ambulance Services NHS Trust (WAST) is commissioned to deliver emergency ambulance services on their behalf.

There are two categories of ambulance service:
Emergency Medical Services (EMS) - the Emergency Medical Service deals with emergency and urgent cases, and is accessed by dialling 999; and
Patient Care Services (PCS) – provides transport for patients to a variety of planned hospital appointments and outpatient clinics.","['https://imperialcollegehealthpartners.com/discover-now/north-west-london-covid-19-data-repository/', 'https://www.nwlondonccgs.nhs.uk/professionals/whole-systems-integrated-care-wsic-dashboards-and-information-sharing/information-de-identified-users']",NOT APPLICABLE
182,"BRAIN UK is a virtual brain bank which provides access to tissue already available in NHS archives as well as the provision of generic ethics. The BRAIN UK network includes 23 of 24 Neuropathology Centres across the UK.
We provide access to collection of samples and data across the following diseases: 
•	Alzheimer's disease (disorder)
•	Cerebrovascular disease (disorder)
•	Degenerative brain disorder (disorder)
•	Fit and well Glioma (disorder)Meningitis (disorder)
•	Multiple sclerosis (disorder)
•	Progressive sclerosing poliodystrophy (disorder)
•	Subarachnoid intracranial haemorrhage (disorder)",['https://www.leicesterbrc.nihr.ac.uk/genetics-of-severe-asthma/'],BREATHE
183,"Includes information on structures, resources, areas of identified good practice and monitoring
that the hospital has put in place to improve the care, treatment and support of people with dementia. Standards have been drawn from national and professional guidance. Data collected April-October 2018.  Scores produced for governance and quality of planned nutrition.

https://www.rcpsych.ac.uk/docs/default-source/improving-care/ccqi/national-clinical-audits/national-audit-of-dementia/r4-resources/tools-guidance/nad-oc-for-round-4-(2018)-v1.pdf?sfvrsn=66894e81_8",['https://renal.org/audit-research/data-permissions/data/ukrr-lab-aki-dataset'],NOT APPLICABLE
184,"The NIHR Bioresource consists of several groups of participants: ~70k from the general population and blood donors (COMPARE, INTERVAL and STRIDES studies); ~19k with one of ~50 rare diseases (RD) including a ~5k pilot for GEL; ~30k with Inflammatory Bowel Disease (IBD) which include the members of Gut Reaction, the Health Data Research Hub for IBD; and ~20k with Anxiety or depression (GLAD study). It intends to extend recruitment in all areas, and to other rare and common disease groups, with a target of ~300k by 2022.  The NIHR BioResource acquires a self-reported health and lifestyle questionnaire from all participants at recruitment, save those recruited in rare disease clinics. Typically variables include height, weight, smoking history and alcohol consumption, with addition of questions relating to disease history and current medications. This is used to pre-screen or match participants when inviting them to take part in experimental medicine studies. De-identified versions of this data are available to researchers investigating the feasibility of future studies.",['https://www.hqip.org.uk/a-z-of-nca/national-epilepsy-12-audit/#.YKKX0qhKiUk'],No Group
185,"Scottish laboratory data covering virology tests from the Tayside and Fife regions. This covers lab tests for a large variety of virus antigen and antibody data, including covid19.  Tayside 1999 – onwards; Fife: 2005 - onwards.","['https://www.ons.gov.uk/economy/economicoutputandproductivity/output/datasets/businessimpactofcovid19surveybicsresults', 'https://www.ons.gov.uk/surveys/informationforbusinesses/businesssurveys/businessimpactofcoronaviruscovid19survey', 'https://www.ons.gov.uk/surveys/informationforbusinesses/businesssurveys/thequestionsonthebusinessimpactofcoronaviruscovid19survey', 'https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/bulletins/businessinsightsandimpactontheukeconomy/7january2021']",SICSAG
186,"This study will assess the prevalence of asthma amongst hajj pilgrims, and risk of asthma-related events during the hajj using routine data from the hajj medical service. We will observe current organisational and clinical routines associated with the provision of hajj medicals, explore the perceptions of clinicians and managers of the hajj service, and to develop an intervention and implementation strategy to reduce the risk of asthma events.

For more information, please see : https://www.ed.ac.uk/usher/respire/chronic-respiratory-disorders/the-malaysian-asthma-hajj-study",['https://www.cprd.com/linked-data'],NOT APPLICABLE
187,"We aim to explore the views and healthcare experiences of patients in Malaysia with severe, potentially life-threatening COPD, health care providers and policy makers regarding the services that provide (or not) supportive and palliative care for these patients. The findings will inform how the current service provision gap for this patient group may be addressed to meet their currently unmet needs. It has potential to inform palliative care guidelines in Malaysia and ultimately the quality of service provision for these patients. 

For further information, see: https://www.ed.ac.uk/usher/respire/chronic-respiratory-disorders/palliative-care-copd","['https://imperialcollegehealthpartners.com/discover-now/north-west-london-covid-19-data-repository/', 'https://www.nwlondonccgs.nhs.uk/professionals/whole-systems-integrated-care-wsic-dashboards-and-information-sharing/information-de-identified-users']",NOT APPLICABLE
188,"Background
Glaucoma is a worldwide leading cause of irreversible sight loss. Worldwide, an estimated 60 million people have glaucoma. Glaucoma is a condition of increased intraocular pressure in the eye. Because it may be asymptomatic until a relatively late stage, diagnosis is frequently delayed. There are four general categories of glaucoma: primary open-angle and angle-closure, and secondary open and angle-closure glaucoma.

The UHB glaucoma dataset is a longitudinal dataset consisting of routinely collected clinical metadata from patients receiving treatment for glaucoma at UHB, from 2007 to the present. 

This dataset encompasses all patients at UHB who have received a diagnosis of primary or secondary glaucoma or ocular hypertension. Clinical metadata includes demographic information, visual acuities, central corneal thickness, intraocular pressure, optic nerve head findings, and mean deviation of the Humphrey visual fields.

This dataset is continuously updating, however, as of 1st October 2021, it consisted of 5065 people This is a large single centre database from patients with glaucoma and covers more than a decade of follow-up for these patients.

Geography
The Queen Elizabeth Hospital is one of the largest single-site hospitals in the United Kingdom, with 1,215 inpatient beds. Queen Elizabeth Hospital is part of one of the largest teaching trusts in England (University Hospitals Birmingham).  Set within the West Midlands and it has a catchment population of circa 5.9million.  The region includes a diverse ethnic, and socio-economic mix, with a higher than UK average of minority ethnic groups. It has a large number of elderly residents but is the youngest population in the UK. There are particularly high rates of diabetes, physical inactivity, obesity, and smoking.

Data source:  Ophthalmology department at Queen Elizabeth Hospital, University Hospitals Birmingham NHS Foundation Trust, Birmingham, United Kingdom.",['https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-sets/mental-health-services-data-set'],National Clinical Audit and Patient Outcomes Programme (NCAPOP)
189,Whole human saliva is collected from donors at the Bristol Dental School at the University of Bristol.,['https://www.insight.hdrhub.org/'],Not Applicable
190,"The UK MND Collections (formerly known as the UK MND DNA Bank) was established to provide the international research community with a resource that would help to identify and understand the causative and disease modifying factors involved with motor neurone disease. These samples are available for research into MND and associated conditions such as fronto-temporal dementia only.
The UK MND Collections combines more than 3,000 biological samples and accompanying clinical information; as well as epidemiology data from 400 participants, including people with MND, controls and family members.
The DNA Bank was the original Collection of whole genome DNA from over 3,000 blood samples, which are stored at CIGMR (Centre for Integrated Genomic Medical Research) in Manchester, UK. The DNA Bank also has clinical information (divided into a minimum and extended dataset) which is available to researchers.
The Cell Lines Collection offers a sub set of the DNA Bank samples as EBV-transformed lymphoblastoid cell lines and peripheral blood lymphocytes. This was originally set up as an everlasting supply of DNA, with the lymphoblastoid cell lines now available to researchers to help them understand how the disease is developing.
The Epidemiology Collection has just over 200 patient and matched control blood samples with extensive environmental and lifestyle data (both from self-report questionnaires and telephone interviews) available to researchers.
More information on the DNA and cell bank is available in Smith et al BMC Genetics (2015) 16:84.",['https://www.insight.hdrhub.org/about-us'],National Clinical Audit and Patient Outcomes Programme (NCAPOP)
191,Pathology results from NWL Pathology and Doctors Labs in regards to COVID-19 Tests.,['https://digital.nhs.uk/coronavirus/coronavirus-data-services-updates/trusted-research-environment-service-for-england'],CDE
192,"The NIHR Nottingham Digestive Diseases Biomedical Research Unit (NDDBRU) has become the central hub to the gastroenterology and hepatology research within the partnership of University of Nottingham and Nottingham University Trust, bringing together 67 principal investigators bridging basic scientific and clinical fields. Among this large group, we have expertise in a wide range of areas, techniques and methodologies although we focus on early translational studies including pre-clinical and phase I/II studies. We host large deeply phenotyped cohort of patients, linked databases and biological samples. Our academic partnership extends to industry links and we do have experience in developing and evaluating, drugs, devices and health care interventions.
NIHR NDDBRU has a mission to take the most promising basic biomedical research breakthroughs and translate them into patient benefit. We focus on developing novel tests, techniques as well as new treatments. We perform experimental medicine investigations into mechanisms underlying disease processes using biological samples from people; we evaluate the efficacy of interventions in volunteers and patients.
Our research focus is on 'The infections, inflammation and consequences in the GI tract and liver'.",['https://www.ed.ac.uk/usher/respire/covid-19/personal-preparedness-health-care-workers'],Not Applicable
193,"Nationaly defined dataset which ontaining administrative details for inpatient admissions (elective, emergency and maternity) and good coverage of clinical coding of diagnosis (ICD10) and procedures (OPCS4). Includes home birth and delivery spells.",['https://www.cprd.com/linked-data'],Not Applicable
194,"CARIS aims to collect reliable data about congenital anomalies that can then be used to help:

- build up and monitor the picture of congenital anomalies in Wales
- assess interventions intended to help prevent or detect congenital anomalies
- plan and co-ordinate provision of health services for affected babies and children
- assess possible clusters of birth defects and their causes

CARIS collects information about any fetus or baby who has or is suspected of having a congenital anomaly and whose mother is normally resident in Wales at time of birth. It includes babies in whom anomalies are diagnosed at any time from conception to the end of the first year of life. Data collection commenced on 1st January 1998 and includes any baby where pregnancy ended after this date.

CARIS uses a multi-source data collection method using a wide range of sources within the NHS. This ranges from antenatal ultrasound, clinical letters, post-mortems and laboratory results. CARIS also accesses a number of databases including SHIRE (Medical Genetics database), PEDW, NCCHD, Paediatric Cardiology database. Medical records are accessed to confirm, validate and add further details to the information already collected.

Due to the nature of this dataset linkage based on the babies is challenging. This is because many pregnancies (approximately 20% of the total) end in fetal loss or termination. However, linkage based on the mother can be performed.","['https://digital.nhs.uk/about-nhs-digital/corporate-information-and-documents/directions-and-data-provision-notices/data-provision-notices-dpns/sgss-and-chess-data', 'https://digital.nhs.uk/coronavirus/coronavirus-covid-19-response-information-governance-hub/coronavirus-covid-19-response-transparency-notice', 'https://digital.nhs.uk/coronavirus/coronavirus-covid-19-response-information-governance-hub']",No Group
195,"The National Exercise Referral Scheme (NERS) is a Public Health Wales (PHW) funded scheme which has been in development since 2007. The Scheme targets clients aged 16 and over who have, or are at risk of developing, a chronic disease. The scheme is centrally managed by the Welsh local Government Association.

NERS is an evidence-based health intervention incorporating physical activity and behavioural change techniques to support referred clients to make lifestyle changes to improve their health and wellbeing.

The principal aims of the scheme:

To offer a high quality National Exercise Referral Scheme across Wales
To increase the long term adherence of clients to physical activity
To improve the physical and mental health of clients
To determine the effectiveness of the intervention in increasing clients’ activity levels and improving their health.",['https://saildatabank.com/about-us/overview/'],UKCRC Tissue Directory and Coordination Centre
196,"Clinical response thresholds (acuity) in acutely unwell patients: onset-outcome

Early warning systems (EWS) are bedside tools used to assess basic physiological parameters to identify patients with potential or established critical illness. Evidence suggests that they may predict risk of intensive care admission, death and length of hospital stay.  In 2017, the Royal College of Physicians (RCP) published an updated National Early Warning Score, referred to as NEWS2, based upon six physiological parameters. It is associated with specific clinical response recommendations in which a step change occurs at a threshold NEWS2 score ?5, requiring an urgent clinical response no matter what the presenting complaint or condition.

PIONEER geography
The West Midlands (WM) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix. There is a higher than average percentage of minority ethnic groups. WM has a large number of elderly residents but is the youngest population in the UK.  Birmingham has the highest birth rate in England.  It also has the highest infant mortality rate. WM life expectancy is 1.8 years less than in London. There are particularly high rates of physical inactivity, obesity, smoking & diabetes.  Each day >100,000 people are treated in hospital, see their GP or are cared for by the NHS.

EHR. University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”. 

Scope: All hospitalised patients to UHB from 2000 – current day.  Updated monthly.  Longitudinal & individually linked, so that the preceding & subsequent health journey can be mapped & healthcare utilisation prior to & after acute admission interrogated.
The dataset includes all admission ICD-10 & SNOMED-CT codes including medical, surgical, paediatrics.  Serial, structured data pertaining to process of care (timings, staff grades, specialty review, wards), presenting complaint, all physiology readings (pulse, blood pressure, respiratory rate, oxygen saturations), all blood results, microbiology, all prescribed & administered treatments (fluids, antibiotics, inotropes, vasopressors, organ support), all outcomes.  Linked images available (radiographs, CT, MRI, ultrasound). Includes but not limited to COVID-19 wave 1 and wave 2 data.

Available supplementary data:
Matched ‘elective’ controls; ambulance, 111, 999 data, synthetic data.

Available supplementary support: Analytics, Model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen",['https://twinsuk.ac.uk/'],NOT APPLICABLE
