,accessRights,dataController,jurisdiction,dataProcessor,accessRequestCost,deliveryLeadTime,accessService
72,['https://www.dundee.ac.uk/hic/governanceservice/'],University of Manchester,['GB-GB'],University of Southampton,https://www.pioneerdatahub.co.uk/data/data-services-costs/,16 WEEKS (8 WEEKS FOR COMMITTEE DECISION AND 8 WEEKS FOR DATA EXTRACTION AND PROCESSING),"More information about the Genomics England Research Environment can be found here:
https://www.genomicsengland.co.uk/about-genomics-england/research-environment/
https://research-help.genomicsengland.co.uk/display/GERE/1.+The+Genomics+England+Research+Environment
Genomics England 100k participants have consented to longitudinal lifetime followup and recontact safely through our clinical network.
BRST (Bioinformatics Research Services) are a team of bioinformatics who know the dataset inside out and provide consultancy projects on a case by case basis.  
Our network of clinical and medical experts can be made available on case by case basis.
Researchers have the opportunity to work with our and access the GeCIP network who are a community of world-leading experts in specific cancers and rare diseases."
73,['https://bioresource.nihr.ac.uk/using-our-bioresource'],COPDMAP Consortium,GB-ENG,GENOMICS ENGLAND,['https://www.cprd.com/pricing'],VARIABLE,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
74,Please contact the publisher using Contact Point details provided,OPCRD,"['GB-GBN', 'GB-ENG']",IDAMAC,Not specified,2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
75,['https://www.insight.hdrhub.org/'],Healthcare Quality Improvement Partnership jointly with NHS England,['GB-SCT'],Not Applicable,['https://www.cprd.com/pricing'],1-2 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
76,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],Cystic Fibrosis Trust,GB-ENG,Not Applicable,['Available at no cost at the point of use'],2-6 MONTHS,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
77,Please contact the publisher using Contact Point details provided.,Clinical Practice Research Datalink (CPRD),GB,SAIL Databank,Fees will be dependent on the type of access that is necessary. Raw data is not eligible for export. Summary-level data may be exported provided that it is approved through the Genomics England Airlock Process,2-4 WEEKS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
78,In Progress,Sport Wales,GB,"University of Dundee, Health Informatics Centre",['https://digital.nhs.uk/services/data-access-request-service-dars/data-access-request-service-dars-charges'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access in a Trustworthy Research Environment (TRE) at AIMES secure data centre (https://aimes.uk/).  It is also intended that SNP data be available from the European Genome-Phenome Archive (EBI's EGA) via managed access - https://ega-archive.org/"
79,Available upon request,University Hospitals Birmingham NHS Foundation Trust,['GB-EAW'],Not Applicable,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
80,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources']",University of Southampton,GB,CPRD,Not specified,2-4 WEEKS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
81,https://www.cysticfibrosis.org.uk/the-work-we-do/uk-cf-registry/apply-for-data-from-the-uk-cf-registry,GENOMICS ENGLAND,['GB-GBN'],Not Applicable,"Whilst the UK CF Registry does not charge for data, it must recoup costs of data handling (including extract and cleaning), project management, and analysis (where applicable) on behalf of third parties. The charging structure outlined below is designed to be fair, proportionate, and transparent whilst furthering the Registry’s aim of stimulating research use of the data for the benefit of people with cystic fibrosis.
 
https://www.cysticfibrosis.org.uk/the-work-we-do/uk-cf-registry/apply-for-data-from-the-uk-cf-registry",2-6 MONTHS,Access service varies on a project-by-project basis. Contact the RESPIRE team for further in formation
82,['HTTPS://CPRD.COM/DATA-ACCESS'],IDAMAC,GB,CPRD,['https://www.insight.hdrhub.org/'],2-4 WEEKS,Data Access Request Committee
83,['https://saildatabank.com/application-process/'],Manchester University NHS Foundation Trust,GB,Office for National Statistics,N/A,1-2 MONTHS,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
84,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],University of Cambridge,['GB-ENG'],GENOMICS ENGLAND,['Available at no cost at the point of use'],VARIABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
85,['https://www.mrc.soton.ac.uk/cmhw/southampton-hub/research-projects-led-by-the-southampton-hub/the-heaf-study/'],Parkinson's UK,['GB'],SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"More information about the Genomics England Research Environment can be found here:
https://www.genomicsengland.co.uk/about-genomics-england/research-environment/
https://research-help.genomicsengland.co.uk/display/GERE/1.+The+Genomics+England+Research+Environment
Genomics England 100k participants have consented to longitudinal lifetime followup and recontact safely through our clinical network.
BRST (Bioinformatics Research Services) are a team of bioinformatics who know the dataset inside out and provide consultancy projects on a case by case basis.  
Our network of clinical and medical experts can be made available on case by case basis.
Researchers have the opportunity to work with our and access the GeCIP network who are a community of world-leading experts in specific cancers and rare diseases."
86,['https://www.genomicsengland.co.uk/about-gecip/joining-research-community/'],SAIL Databank,GB,N/A,['https://www.qresearch.org/information/information-for-researchers/'],VARIABLE,"Once your DARS application has been approved, data will be made available either by secure file transfer or through the Data Access Environment (DAE).

Secure file transfer: https://digital.nhs.uk/services/transfer-data-securely

DAE: https://digital.nhs.uk/services/data-access-environment-dae"
87,['https://isaric4c.net/sample_access/'],National Records Scotland,GB-ENG,Not Applicable,"['Charges may apply for new aggregate data and extracts of pseudonymous patient level data. The charges are to recover the costs of managing the application process and preparing extracts of data. The costs depend on the level of service required from the UKRR and whether this is limited to a simple extract of data, or requires additional input such as methodological or statistical support. The UKRR can advise on costs once the expression of interest is received and applicants may also be requested to complete a costing form.']",1-2 MONTHS,Data may only be accessed in an approved Trustworthy Research Environment
88,Please contact the publisher using Contact Point details provided.,University Hospitals Birmingham NHS Foundation Trust,GB-ENG,Cystic Fibrosis Trust,['https://digital.nhs.uk/services/data-access-request-service-dars/data-access-request-service-dars-charges'],2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
89,Please contact the publisher using Contact Point details provided,Clinical Practice Research Datalink (CPRD),['GB-GB'],NOT APPLICABLE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
90,['http://parkinsons.org.uk/HDRUK'],University College London,['GB-GB'],RESPIRE,https://www.insight.hdrhub.org/contact,2-6 MONTHS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
91,['https://saildatabank.com/application-process/'],Clinical Practice Research Datalink (CPRD),['GB-SCT'],AUCKAR,['N/A'],VARIABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
92,['https://www.dundee.ac.uk/hic/governanceservice/'],Public Health England,GB,Office for National Statistics,['https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Remote access can now be granted via an HSCNI tenancy of the UK Secure e-Research Platform (UK SeRP), the HBS still offer the physical safe setting in Belfast for local research."
93,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],GENOMICS ENGLAND,['GB-GBN'],SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",16 WEEKS (8 WEEKS FOR COMMITTEE DECISION AND 8 WEEKS FOR DATA EXTRACTION AND PROCESSING),"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
94,['HTTPS://CPRD.COM/DATA-ACCESS'],NHS DIGITAL,GB-ENG,University of Oxford,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,Access is managed on a project-by-project basis. Contact the RESPIRE team
95,Please contact the publisher using Contact Point details provided.,SAIL Databank,['GB-GBN'],Not Applicable,Not specified,OTHER,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
96,['HTTPS://CPRD.COM/DATA-ACCESS'],Professor Neil Guha,['GB-GB'],SAIL Databank,Not specified,OTHER,"Once your DARS application has been approved, data will be made available either by secure file transfer or through the Data Access Environment (DAE). 

Secure file transfer: https://digital.nhs.uk/services/transfer-data-securely

DAE: https://digital.nhs.uk/services/data-access-environment-dae"
97,['https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/approvedresearcherscheme'],University Hospital Southampton Trust,['GB'],Google,Not specified,VARIABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
98,['https://www.genomicsengland.co.uk/about-gecip/joining-research-community/'],Cystic Fibrosis Trust,['GB-ENG'],Not Applicable,Fees will be dependent on the type of access that is necessary. Raw data is not eligible for export. Summary-level data may be exported provided that it is approved through the Genomics England Airlock Process,1-2 MONTHS,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
99,['https://digital.nhs.uk/services/data-access-request-service-dars'],University Hospitals Birmingham NHS Foundation Trust,['GB-WLS'],"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)",['Quotation available on request'],OTHER,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
100,['https://saildatabank.com/application-process/'],University of Dundee,['GB'],SAIL Databank,Not specified,2-6 MONTHS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
101,['In Progress'],RESPIRE,GB-ENG,SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",1-2 MONTHS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
102,Please contact the publisher using Contact Point details provided,AUCKAR,GB,Not Applicable,Not specified,OTHER,"SAIL Gateway
https://saildatabank.com"
103,https://www.cysticfibrosis.org.uk/the-work-we-do/uk-cf-registry/apply-for-data-from-the-uk-cf-registry,Office for National Statistics,['GB-GBN'],Not Applicable,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
104,['https://www.insight.hdrhub.org/'],University of Dundee,GB-GBN,Not Applicable,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",OTHER,"Remote access can now be granted via an HSCNI tenancy of the UK Secure e-Research Platform (UK SeRP), the HBS still offer the physical safe setting in Belfast for local research."
105,https://www.hqip.org.uk/national-programmes/accessing-ncapop-data,SAIL Databank,['GB-SCT'],GENOMICS ENGLAND,Not specified,2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
106,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],University of Oxford,['GB-SCT'],"University of Dundee, Health Informatics Centre",www.pioneerdatahub.co.uk/data/data-services-costs/,OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
107,['https://www.ed.ac.uk/usher/respire/covid-19/sero-surveillance-monitor-transmission'],"UK Renal Registry, The Renal Association",GB-GBN,Not Applicable,['https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/'],2-6 MONTHS,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access is currently via an experimental safe haven built in Microsoft Azure."
108,['https://saildatabank.com/application-process/'],NHS Digital,['GB-GBN'],SAIL Databank,['Quotation available on request'],2-4 WEEKS,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
109,['https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/approvedresearcherscheme'],SAIL Databank,['GB-SCT'],University of Dundee,['www.pioneerdatahub.co.uk/data/data-services-costs/'],2-6 MONTHS,Access is managed on a project-by-project basis. Contact the RESPIRE team:
110,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],Moorfields Eye Hospital,GB-WLS,Not Applicable,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data'],2-6 MONTHS,"INSIGHT adheres to HDRUK data access principles including the five SAFES; anonymised data is provided into an agreed Trusted Research Environment such as the PIONEER Microsoft Azure TRE at University Hospitals Birmingham NHSFT or equivalent external safe environment, under data license."
111,['https://saildatabank.com/application-process/'],"Irene J Higginson, (Cicely Saunders Institute of Palliative Care, Policy and Rehabilitation, King's College London) as the Chief Investigator of CovPall study is the Intellectual Property owner of the CovPall Survey.",['GB-ENG'],SAIL Databank,"['https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",2-6 MONTHS,"Researchers will have access to a VDI environment with a specific username and password. The researchers will get access to the datasets that is present in the hub's catalogue and would be able to carry out their research within the safe haven. There are restrictions applied which prevents the researchers from taking data out of the safe haven, once the research/analysis is completed the admin team will need to be contacted for taking the analysis off the safe haven"
112,['https://www.qresearch.org/information/information-for-researchers/'],Cambridge University Hospitals NHS Foundation Trust (CUH),['GB'],National Services Scotland,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
113,"Available locally within Trust corporate Data Warehouse System and authorised access by Trust staff only.
However as the system is centrally hosted, the data may also be available directly from the OpenExeter team.","NHS, SAIL Databank",['GB-ENG'],Not Applicable,Calculated on individual basis,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
114,['https://renal.org/audit-research/how-access-data/ukrr-data/apply-access-ukrr-data'],SAIL Databank,['GB-WLS'],NOT APPLICABLE,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
115,['https://digital.nhs.uk/services/data-access-request-service-dars'],University of Edinburgh,GB-GBN,Imperial College London,Not specified,OTHER,Access is managed on a project-by-project basis. Contact the RESPIRE Collaboration.
116,['https://saildatabank.com/application-process/'],University of Leicester,GB-GBN,"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)",Not specified,2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
117,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.strokeaudit.org/Research/Data-requests.aspx",University of Liverpool,['GB-ENG'],"University of Dundee, Health Informatics Centre","['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-4 WEEKS,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
118,['https://www.insight.hdrhub.org/researcher-area'],GENOMICS ENGLAND,['GB-GBN'],NOT APPLICABLE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
119,['https://www.kcl.ac.uk/cicelysaunders/research/evaluating/covpall-study/covpall-study'],Local NHS boards,GB-GBN,NOT APPLICABLE,Fees will be dependent on the type of access that is necessary. Raw data is not eligible for export. Summary-level data may be exported provided that it is approved through the Genomics England Airlock Process,2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
120,['https://bioresource.nihr.ac.uk/using-our-bioresource'],Cardiff University,['GB'],NHS Benchmarking Network,['https://digital.nhs.uk/services/data-access-request-service-dars/data-access-request-service-dars-charges'],1-2 MONTHS,Not Applicable
121,['https://saildatabank.com/application-process/'],ICNARC,GB-SCT,"Crown Informatics Limited (patient identifiable information)
Royal College of Physicians (RCP), NACAP team (service level aggregated data only)
Imperial College London (service level aggregated dat only)",https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access is currently via an experimental safe haven built in Microsoft Azure."
122,['https://saildatabank.com/application-process/'],University of Dundee,GB-ENG,Centre for Longitudinal Studies (CLS),"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
123,Please contact the publisher using Contact Point details provided.,University Hospitals Coventry & Warwickshire NHS Trust,GB-ENG,Leeds Teaching Hospitals Trust (LTHT),['Quotation available on request'],VARIABLE,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access is currently via an experimental safe haven built in Microsoft Azure. It is also intended that SNP data be available from the European Genome-Phenome Archive (EBI's EGA) via managed access."
124,Please contact the publisher using Contact Point details provided,NHS Wales Shared Services Partnership,GB,National Services Scotland,['https://www.cprd.com/pricing'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
125,Please contact the publisher using Contact Point details provided,Public Health Scotland,['GB-SCT'],Not Applicable,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
126,"Available locally within Trust corporate Data Warehouse System and authorised access by Trust staff only.
Dataset is also available within Discovery.",NHS Lothian/ University of Edinburgh,GB-WLS,Not Applicable,['http://www.hscbusiness.hscni.net/pdf/Researcher%20Pack.zip'],OTHER,"Remote Desktop to dedicated Windows Server.

Standard Server Spec:
16GB RAM, 4 Logical Xeon Gold Processors, 200 GB HDD

Max available Server Spec:
512GB RAM, 72 Logical Xeon Gold Processors, 2TB HDD. Tesla V100 GPU"
127,['https://www.genomicsengland.co.uk/about-gecip/joining-research-community/'],University Hospitals Birmingham NHS Foundation Trust,GB-WLS,Centre for Longitudinal Studies (CLS),"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",2-6 MONTHS,"Researchers will have access to a VDI environment with a specific username and password. The researchers will get access to the datasets that is present in the hub's catalogue and would be able to carry out their research within the safe haven. There are restrictions applied which prevents the researchers from taking data out of the safe haven, once the research/analysis is completed the admin team will need to be contacted for taking the analysis off the safe haven"
