,observedNode,measuredValue,observationDate,measuredProperty,disambiguatingDescription
297,EVENTS,139462,25/04/2022,Count,"Records (1985-2012).  Stillbirths, early neonatal deaths and late neonatal deaths, although depending on the year of coverage, some post-neonatal deaths may be recorded, as well as some miscarriages and terminations of pregnancy."
298,PERSONS,901965,06/09/2021,Count,Births
299,PERSONS,34416869,06/09/2021,Count,
300,PERSONS,5950,04/02/2022,Count,Approximate number of children added per year
301,PERSONS,4173000,01/12/2021,COUNT,NOT APPLICABLE
302,EVENTS,7883974,04/05/2021,Count,
303,FINDINGS,1300897,01/09/2020,Count,
304,FINDINGS,3016279,01/09/2020,Count,"50,000 observations on average per month"
305,EVENTS,9639,03/11/2021,Count,Distinct patients
306,PERSONS,3255865,06/09/2021,Count,"The Walker cohort is a database of over 48,000 birth records containing information on pregnancy, labour, birth and care before discharge for babies born in hospital in Dundee between 1952 and 1966."
307,PERSONS,2507000,12/11/2021,Count,"158,000 patients in dataset"
308,PERSONS,70,31/03/2021,Count,6256 patient cases are included from 266 elderly care and neurology services
309,EVENTS,47,24/06/2021,percentage,Participants who have contact details
310,PERSONS,113,16/03/2022,Count,
311,EVENTS,3000000,01/09/2021,Count,Count of completed (processed) COVID-19 antigen tests booked through the NHS-Digital portals
312,PERSONS,3500000,14/05/2021,Count,"Number of hospitals who submitted data
"
313,EVENTS,13708599,20/01/2021,count,Count of completed (processed) COVID-19 antigen tests carried out in NHS hospitals in Northern Ireland
314,Events,26003 spells in dataset from 01.01.2015 to 17.11.2020,2020-12-21,Count,Number of case notes submitted
315,EVENTS,200000,01/10/2021,Count,episodes of critical care
316,PERSONS,45811089,04/02/2022,Count,148 patients were recruited to the HIV-POGO study
317,FINDINGS,197000,01/07/2021,Count,Number of unique CPRD Aurum patients linked to CHESS
318,EVENTS,6067069,05/02/2021,Count,Number of participants at recruitment (LBC1936 Wave 1)
319,EVENTS,606553380,24/12/2020,count,"129,000 persons in the dataset"
320,EVENTS,812,14/01/2022,Count,"378,367 persons in this dataset"
321,PERSONS,341000,11/11/2021,Count,
322,FINDINGS,1,30/06/2021,Count,number of lower limb angioplasty / stent procedures included in the audit 2017-2019
323,FINDINGS,3016279,01/09/2020,Count,Population of Lothian
324,PERSONS,75,27/09/2021,Count,"3637 patients recruited to the 100,000 Genomic project within the West Midlands including rare diseases and cancers."
325,Persons,"11,000",2021-01-25,count,Number of unique CPRD Aurum patients linked to SGSS
326,EVENTS,35047612,01/03/2022,Count,"8247 patient cases are included submitted by 451 
(77.7%) of the services participating in the 2019 UK Parkinson's Audit."
327,Persons,349,1996-01-01,Count,91287 spells in this dataset from 06.10.2004  to 18.02.2021
328,PERSONS,2683983,29/09/2021,Count,"number of primary elbow  replacements during 2019 in the dataset
"
329,Events,13708599,2021-01-20,count,"Approximately 500,000 new and review attendances annually"
330,PERSONS,3500000,14/05/2021,Count,Computer task performance
331,PERSONS,100,31/08/2019,Count,Approx 70-80% coverage of Welsh population through GP registrations.
332,EVENTS,100,01/05/2018,count,Number of CPRD Aurum patients eligible for postcode linkage
333,PERSONS,1000,01/01/2016,Count,Participants who have clinical data (disease and/or medication data collected at recruitment by a healthcare professional)
334,EVENTS,14852,27/05/2021,Count,"Approximately 28,000 individuals have been surveyed for the two-quarter longitudinal datasets"
335,EVENTS,5625,21/02/2022,Count,"91,568 spells with patients with diabetes between 12-01-2000 and 01-01-2022"
336,PERSONS,49282,01/03/2020,TBC,Approx 70-80% coverage of Welsh population through GP registrations.
337,PERSONS,25639,04/01/1993,Count,"All people aged 4 and over who are studying, or aged 16 to 74 in employment the week before the census"
338,PERSONS,115,01/05/2021,Count,Total number of practices (current and historic) included in the CPRD Aurum Jan 2022 database
339,FINDINGS,1,30/04/2020,Count,2439 patients across 2499 admissions where the patient was subjected to ventilation.
340,EVENTS,47433,20/07/2021,Palliative Day Care Events,Number of CPRD GOLD patients matched to a single cancer identifier
341,EVENTS,1361,01/10/2021,Count,People receiving their first dose of a COVID-19 vaccination 
342,EVENTS,3000000,01/09/2021,Count,People in England and Wales with diabetes included in the 18/19 National Diabetes Audit
343,PERSONS,12332510,02/07/2021,Count,"Cardiochip, n=8000; Metabochip, n=20,000; and the Infinium Human Core DrugDev array, n=20,000, as well as the Nightingale NMR metabolomics platform >200 lipidomic and metabolomic measures) and the Somalogic Proteomics platform >5000 circulating proteins"
344,EVENTS,3000000,01/09/2021,Count,"All people aged 4 and over who are studying, or aged 16 to 74 in employment the week before the census"
345,PERSONS,60000,01/10/2020,Count,NHS National Codes
346,Events,94431,2020-11-26,COUNT,Not applicable
347,EVENTS,3445,12/11/2020,Count,Count of discrete episodes of inpatient stays
348,EVENTS,3000000,01/09/2021,Count,Number of CPRD Aurum patients matched to single HES identifier 
349,EVENTS,12369,25/11/2021,Count,Approx 70-80% coverage of Welsh population through GP registrations.
350,PERSONS,20827472,07/02/2022,Count,Approx 70-80% coverage of Welsh population through GP registrations.
351,EVENTS,3000000,01/09/2021,Count,Total number of research acceptable patients in CPRD Aurum February 2022 version
352,FINDINGS,3016279,01/09/2020,Count,There are 240000000 records in the dataset
353,PERSONS,1200000,14/12/2021,Count,Number of participants at recruitment
354,FINDINGS,95,24/06/2021,percentage,"Approx. 25,000 maternities annually
"
355,FINDINGS,42000000,22/06/2021,Count,"47,091 Persons in the dataset"
356,Persons,40000,2017-10-20,count,Approx 70-80% coverage of Welsh population through GP registrations.
357,FINDINGS,575,27/11/2020,Count,Number of fracure liaison services who submitted data to the FLS-DB in 2017
358,FINDINGS,30,15/06/2021,Count,"Cafcass court cases in Wales
"
359,PERSONS,34232,01/09/2021,COUNT,
360,PERSONS,270230,20/11/2020,Count,"Approximately 40,000 households surveyed each quarter"
361,FINDINGS,2000000,22/06/2021,Count,number of carotid interventions included in the dataset in 2019
362,PERSONS,21249,17/01/2021,count,Participants who have clinical data (disease and/or medication data collected at recruitment by a healthcare professional)
363,EVENTS,2355051,17/01/2021,count,Approx 70-80% coverage of Welsh population through GP registrations.
364,EVENTS,8581,01/07/2016,Count,Number of neonatal units submitting data in 2020
365,PERSONS,116000,2020-08-31,Count,There are approximately 110 participants in the Follow-COVID study
366,Persons,53000,12/02/2021,Count,number of patients in the dataset
367,PERSONS,8885 spells in this dataset from 01.01.2015 to 31.12.2020,2020-02-16,Count,Number of CPRD GOLD patients matched to single HES identifier
368,Events," 2,644,802 ",2020-12-08,Count,Computer task performance
369,Persons,3100000,2011-09-19,Count,102 participants in total
370,Persons,50000,30/04/2021,Count,"Adults born before 1992, residing in Scotland at time of recruitment"
371,PERSONS,3000000,01/09/2021,Count,Number of Trusts in the UK who responded to the organisational audit survey
372,EVENTS,1,28/02/2021,Count,"48,820 spells diagnosed with atrial fibrillation"
373,FINDINGS,291231,29/11/2021,Count,number of major lower limb amputations submitted to the audit in 2017-2019
374,PERSONS,3200,27/09/2021,Count,Participants who returned health and lifestyle questionnaires
375,PERSONS,49000,01/09/2021,Count,"1,431,000 patients in the dataset"
376,PERSONS,158000,08/09/2021,Count,"The study aims to recruit 25,000 patients in the UK who have been diagnosed with ME/CFS by a health professional"
377,PERSONS,6256,30/09/2019,Count,"The 8000 research volunteers are people with ancestry from the Northern Isles of Scotland, UK. This is defined as having two or more immediate grandparents from Orkney or Shetland."
378,PERSONS,31872,2020-11-26,COUNT,"Since March 2020, c. 13,000 patients with kidney disease who receive treatment from a renal centre in England, Northern Ireland and Wales have had a positive laboratory test for SARS-CoV-2."
379,Persons," 1,016,695 ",2020-12-08,Count,Cancer study participants
380,Persons,1,16/06/2021,Count,SNP genotyping array chips processed
381,EVENTS,3000000,01/09/2021,Count,There are 2036 participants of the MATCH study
382,EVENTS,247,12/05/2021,Count,Participants who have demographic information (age and gender as a minimum)
383,FINDINGS,1,31/08/2022,Count,Number of COVID Tests
384,FINDINGS,1,16/06/2021,Count,"323,899 spells with laboratory investigations recorded."
385,EVENTS,6730,12/05/2021,Count,"Samples with FEV1 and FVC
FEV1 = Forced Expiratory Volume 1
FVC = Forced Vital Capacity

"
386,PERSONS,78226,20/01/2021,count,Number of CPRD GOLD patients eligible for postcode linkage
387,EVENTS,148,28/10/2021,Count,NOT APPLICABLE
388,PERSONS,32089,04/03/2022,Count,Number of CPRD Aurum patients matched to a single cancer identifier
389,PERSONS,1091,2004-01-01 00:00:00,Count,846 admissions of worsening COPD between 01-01-2018 to 31-12-2018
390,PERSONS,129000,28/09/2021,COUNT,Persons (patients) with confirmed clinical diagnosis of IBD under the care of an NHS hospital
391,PERSONS,378367,19/05/2022,COUNT,Approx 70-80% coverage of Welsh population through GP registrations.
392,PERSONS,13000,2020-06-10,Count,Computer task performance
393,Persons,23881,12/11/2020,Count,Air Pollution Estimates
394,EVENTS,800000,01/01/2021,Count,Approx 70-80% coverage of Welsh population through GP registrations.
395,PERSONS,3000000,01/09/2021,Count,Number of CPRD GOLD patients matched to single HES identifier
396,EVENTS,3500000,14/05/2021,Count,Participants who returned health and lifestyle questionnaires
397,PERSONS,3637,18/12/2019,COUNT,percentage of pulmonary rehab services in England which submited data
398,PERSONS,1720744,04/02/2022,Count,"3,669 CAP spells in this dataset from 2019-09-01 to 2020-01-31 and 2020-09-01 to 2021-01-31"
399,PERSONS,1,31/01/2021,Count,Number of CPRD GOLD patients matched to single HES identifier
400,FINDINGS,8247,30/09/2019,Count,birth records
401,PERSONS,91287,22/02/2021,Count,Number of CPRD Aurum patients matched to a single cancer identifier
402,EVENTS,1,31/07/2019,Count,"1082405 referrals were received during December 2020, as recorded in the Community Services dataset"
403,FINDINGS,4373,01/09/2020,Count,Useable adult critical care records
404,FINDINGS,500000,16/06/2021,Count,Number of households at recruitment (Wave 1)
405,EVENTS,1318,01/10/2015,Count,Total number of research acceptable patients in CPRD GOLD February 2022 version
406,PERSONS,3000000,01/09/2021,Count,"Latest Publication Wave includes 3,756 individuals. This is from the publication bulletin released on 8th January 2021."
407,EVENTS,45811089,04/02/2022,Count,Consultations
408,PERSONS,33632,26/11/2020,COUNT,"The Welsh Results Reports Service, gives clinicians blood results for patients, no matter where they had their blood taken. So rather than travelling to have blood tests, patients can go to mobile units, or local centres, and clinicians can see results."
409,PERSONS,28000,10/11/2020,count,"242,629 acute admissions with a NEWS2 score between 01/01/2018 and 01/02/2022"
410,PERSONS,9137,01/03/2014,Count,
411,PERSONS,91568,02/01/2022,Count,"141,921 same day emergency spells that are completed in 48 hours or less from 2019-04-01 to 2020-09-30"
412,EVENTS,3000000,01/09/2021,Count,Number of participants in the study after quality control filtering
413,EVENTS,3397207,27/03/2011,Count,Number of patients matched to single HES identifier
414,PERSONS,1489,04/02/2022,Count,Number of patients matched to single death identifier
415,FINDINGS,22500,20/12/2021,Count,"64389 patients, 1843659 retinal scan images"
416,PERSONS,2499,22/02/2021,Count,Number of Trusts and Health Boards who submitted data for the 2020 report.
417,EVENTS,901965,06/09/2021,Count,number of records submitted to the audit in 2018/19
418,PERSONS,17521000,03/03/2021,Count,
419,PERSONS,3479215,2019-03-31,Count,unique patients that have submitted prescriptions in Oct 2020.
420,Persons,1,21/09/2021,Count,"Finished Consultant Episodes (FCEs) within Admitted Patient Care (APC) HES (Hospital Episode Statistics) 
"
421,PERSONS,30000,01/06/2016,Count,NOT APPLICABLE
422,PERSONS,3397207,2011-03-21,Count,Persons recruited to the BiB Growing Up study
423,Persons,1743000,29/10/2020,Count,1022 patient cases are included from 79 speech and language therapy services
424,PERSONS,268739,15/09/2021,Count,Approx 70-80% coverage of Welsh population through GP registrations.
425,PERSONS,30105,17/08/2021,Count,number of lower limb bypass procedures submitted to the audit in 2017-2019
426,EVENTS,1,21/05/2021,Count,Episodes
427,EVENTS,34416869,06/09/2021,Count,"385,000 patients in the dataset"
428,PERSONS,3000000,01/09/2021,Count,Number of CPRD GOLD patients matched to a single cancer identifier
429,EVENTS,3000000,01/09/2021,Count,
430,EVENTS,461175,22/09/2021,Count,Approximate number of new patients included each year
431,EVENTS,40933535,07/02/2022,Count,Women with an antenatal booking appointment during September recorded in the maternity services data set.
432,PERSONS,240000000,24/09/2021,COUNT,Number of unique CPRD GOLD patients linked to SGSS
433,PERSONS,1319475,01/01/1996,Count,"total number of NJR records analysed for the 2019 annual report
"
434,PERSONS,25000,14/05/2021,Count,"128,076 acute episodes amongst patients aged over 65 with identifiable features of frailty between 01/01/2018 and 01/08/2021"
435,EVENTS,47091,12/05/2022,COUNT,"12,691 COPD (both with a positive and negative swab for SARS-CoV-2 infection) and Non COPD patients (with a positive swab for SARS-CoV-2 infection) between 2019-03-01 to 2020-12-15"
436,PERSONS,3000000,01/09/2021,Count,"Approximately 16,000 deaths registered per year"
437,EVENTS,59,01/05/2018,count,"30 carpal tunnel syndrome patients (17 female, 13 male) and 26 healthy volunteers (18 female, 8 male) are present in the dataset."
438,EVENTS,721005,20/08/2021,Count,
439,EVENTS,3000000,01/09/2021,Count,
440,EVENTS," 748,472",2020-12-08,Count,
441,Persons,40000,25/09/2020,count,
442,FINDINGS,4141,12/11/2020,Count,
443,EVENTS,33904,01/09/2020,COUNT,
444,PERSONS,3000000,01/01/2021,Count,
445,FINDINGS,35047612,04/02/2022,Count,
446,EVENTS,3000000,01/09/2021,Count,
447,EVENTS,165,11/11/2021,Count,
448,FINDINGS,110,29/09/2021,Count,
449,PERSONS,1,31/01/2021,Count,
450,FINDINGS,12127,24/06/2021,count,
451,PERSONS,300,01/10/2004,Count,
452,PERSONS,8066341,04/02/2022,Count,
453,PERSONS,1,30/12/2020,Count,
454,FINDINGS,75,01/09/2013,Count,
455,PERSONS,102,19/10/2021,Count,
456,PERSONS,24000,10/05/2011,Count,
457,PERSONS,80,12/11/2020,Count,
458,FINDINGS,48820,06/01/2022,Count,
459,EVENTS,10022,12/11/2020,Count,
460,EVENTS,1,31/01/2021,Count,
461,FINDINGS,3000000,01/09/2021,Count,
462,EVENTS,50224,26/11/2020,COUNT,
463,PERSONS,1431000,12/11/2021,Prescriptions,
464,PERSONS,25000,26/10/2021,Count,
465,PERSONS,8000,01/03/2005,Count,
466,PERSONS,13000,28/04/2021,Count,
467,PERSONS,650,2021-02-01,Count,
468,Persons,6390,2020-10-06,Count,
469,Events,7057,27/09/2021,Count,
470,PERSONS,2036,29/09/2021,Count,
471,PERSONS,144909,26/11/2020,COUNT,
472,PERSONS,24141005,22/10/2021,Count,
473,EVENTS,323899,10/01/2022,Count,
474,EVENTS,3200,04/01/2016,Count,
475,PERSONS,46,01/08/2016,Count,
476,PERSONS,"79,055",2019-02-25,Lung function,
477,Findings,10559390,04/02/2022,Count,
478,PERSONS,35047612,04/02/2022,count,
479,EVENTS,"50,899 patients including Coagulopathy and Non-Coagulopathy control group.",2020-12-09,Count,
480,Events,3255865,06/09/2021,Count,
481,PERSONS,846,17/12/2021,Count,
482,EVENTS,82268,26/10/2021,COUNT,
483,PERSONS,3000000,01/09/2021,Count,
484,EVENTS,165000,05/05/2021,Count,
485,PERSONS,59,01/01/2017,Count,
486,PERSONS,4391067,15/09/2021,Count,
487,PERSONS,3000000,01/09/2021,Count,
488,EVENTS,8024752,06/09/2021,Count,
489,PERSONS,22536,26/11/2020,COUNT,
490,PERSONS,67,24/06/2021,percentage,
491,FINDINGS,3669,14/05/2021,Count,
492,EVENTS,8024752,06/09/2021,Count,
493,PERSONS,1578630,17/01/2021,count,
494,EVENTS,7222,01/07/2019,Count,
495,PERSONS,3255865,06/09/2021,Count,
496,PERSONS,353,29/09/2021,Count,
497,PERSONS,1082405,08/04/2021,COUNT,
498,EVENTS,12435,03/01/2005,Count,
499,PERSONS,286224,18/11/2020,Count,
500,EVENTS,2745552,31/03/2021,Count,
501,EVENTS,39802,2009-01-01 00:00:00,Count,
502,PERSONS,35000000,04/02/2022,count,
503,EVENTS,20827472,07/02/2022,Count,
504,PERSONS,3756,08/01/2021,count,
505,FINDINGS,7996758,20/01/2021,Count,
506,EVENTS,4028187,20/07/2021,WRRS Observational results,
507,FINDINGS,242629,08/04/2022,Count,
508,EVENTS,35047612,04/02/2022,Count,
509,EVENTS,"2,325,220",2021-02-28,Count,
510,Persons,3000000,01/09/2021,Count,
511,EVENTS,141921,17/05/2021,Count,
512,EVENTS,151,31/12/2021,Count,
513,PERSONS,35047612,04/02/2022,Count,
514,EVENTS,1158177,17/03/2022,count,
515,PERSONS,64389,19/07/2021,Count,
516,EVENTS,136,01/12/2020,Count,
517,EVENTS,98220,01/01/2020,Count,
518,EVENTS," 2,653,250 ",2020-12-08,Count,
519,Persons,3000000,01/01/2021,Count,
520,PERSONS,18824070,2020-10-31,Count,
521,Persons,17400000,18/11/2020,Count,
522,EVENTS,"33,208 admissions ranging from 04-06-2015 until 17-11-2020",2021-01-11,Count,
523,Events,12619,27/03/2022,Count,
524,PERSONS,1022,30/09/2019,Count,
525,PERSONS,3000000,01/09/2021,Count,
526,EVENTS,18090,12/11/2020,Count,
527,EVENTS,1090594,16/01/2021,count,
528,EVENTS,385000,14/09/2021,Count,
529,PERSONS,30000,23/04/2021,Count,
530,PERSONS,901965,06/09/2021,Count,
531,PERSONS," 29,965 ",2020-12-08,Count,
532,Persons,32000,01/01/2021,Count,
533,PERSONS,58035,2020-11-30,count,
534,Persons,378135,04/02/2022,Count,
535,PERSONS,3016279,01/09/2020,Count,
536,FINDINGS,116000,31/08/2020,Count,
537,PERSONS,128076,24/11/2021,Count,
538,EVENTS,721005,20/08/2021,Count,
539,EVENTS,12691,18/05/2021,Count,
540,EVENTS,1,31/12/2020,Count,
541,FINDINGS,16000,22/06/2021,Count,
542,PERSONS,56,27/10/2014,Count,
543,PERSONS,,,,
